Optimization Results - Beta,,,,,,,,,
"NDC (Varying a[0.01,0.99], b=1)",,,,,"SDC (Varying a[0.01,0.99], b=1)",,,,
iter,a,b,S_init,RMSE,iter,a,b,S_init,RMSE
1,0.050,1.000,100.000,1.970,1,0.050,1.000,100.000,2.177
2,0.050,1.000,100.000,1.970,2,0.050,1.000,100.000,2.177
3,0.050,1.000,100.000,1.970,3,0.050,1.000,100.000,2.177
4,0.990,1.000,100.001,0.922,4,0.990,1.000,100.001,1.034
5,0.990,1.000,100.001,0.922,5,0.990,1.000,100.001,1.034
6,0.990,1.000,100.001,0.922,6,0.990,1.000,100.001,1.034
7,0.602,1.000,99.991,0.567,7,0.706,1.000,99.990,0.697
8,0.602,1.000,99.991,0.567,8,0.706,1.000,99.990,0.697
9,0.602,1.000,99.991,0.567,9,0.706,1.000,99.990,0.697
10,0.760,1.000,99.993,0.515,10,0.669,1.000,99.985,0.696
11,0.760,1.000,99.993,0.515,11,0.688,1.000,99.988,0.695
12,0.760,1.000,99.993,0.515,12,0.688,1.000,99.988,0.695
13,0.701,1.000,99.993,0.488,13,0.688,1.000,99.988,0.695
14,0.701,1.000,99.993,0.488,14,0.687,1.000,99.984,0.695
15,0.701,1.000,99.993,0.488,15,0.687,1.000,99.984,0.695
16,0.702,1.000,99.995,0.488,16,0.687,1.000,99.984,0.695
17,0.702,1.000,99.995,0.488,17,0.686,1.000,99.972,0.695
18,0.702,1.000,99.995,0.488,18,0.686,1.000,99.972,0.695
19,0.702,1.000,99.998,0.488,19,0.686,1.000,99.972,0.695
20,0.702,1.000,99.998,0.488,20,0.685,1.000,99.899,0.694
21,0.702,1.000,99.998,0.488,21,0.685,1.000,99.899,0.694
22,0.703,1.000,100.016,0.488,22,0.685,1.000,99.899,0.694
23,0.703,1.000,100.016,0.488,23,0.680,1.000,99.473,0.693
24,0.703,1.000,100.016,0.488,24,0.680,1.000,99.473,0.693
25,0.704,1.000,100.090,0.488,25,0.680,1.000,99.473,0.693
26,0.704,1.000,100.090,0.488,26,0.676,1.000,98.466,0.692
