datetime,dO18,dD
2/21/2020 11:00:00,-7.31,-45.76
2/21/2020 11:00:00,NA,NA
2/21/2020 17:08:00,-5.74,-40.97
2/21/2020 17:08:00,NA,NA
3/27/2020 8:15:00,-7.6,-47.43
4/9/2020 7:47:00,-7.55,-47.07
4/21/2020 7:30:00,-7.38,-46.33
5/5/2020 8:02:00,-7.28,-45.82
5/5/2020 13:00:00,NA,NA
5/5/2020 13:00:00,-7.49,-46.92
5/19/2020 7:55:00,-7.02,-43.18
7/22/2020 8:10:00,-7.37,-46.29
7/22/2020 7:25:00,NA,NA
7/22/2020 7:25:00,-7.61,-47.21
7/22/2020 6:53:00,NA,NA
7/22/2020 0:00:00,NA,NA
7/22/2020 8:15:00,-7,-43.73
11/19/2020 17:00:00,NA,NA
12/9/2020 16:20:00,-7.13,-45.03
12/12/2020 3:30:00,-6.66,-41.95
12/12/2020 2:00:00,-6.75,-42.07
12/11/2020 10:00:00,NA,NA
12/11/2020 23:30:00,-6.91,-43.29
12/12/2020 23:00:00,-6.89,-42.94
12/13/2020 16:00:00,NA,NA
12/12/2020 1:00:00,-6.76,-42.88
12/13/2020 22:00:00,-6.76,-42.13
12/13/2020 11:00:00,-6.64,-40.88
12/14/2020 13:00:00,NA,NA
12/13/2020 18:00:00,-6.86,-43.04
12/16/2020 20:00:00,-6.84,-42.28
12/17/2020 1:00:00,-6.89,-43.16
12/17/2020 3:00:00,-6.77,-42.09
12/17/2020 5:00:00,-6.94,-43.24
12/17/2020 7:00:00,-6.92,-42.83
12/17/2020 13:30:00,NA,NA
1/12/2021 0:00:00,-7.03,-43.9
1/21/2021 8:45:00,-7.11,-44.45
1/21/2021 10:50:00,NA,NA
1/21/2021 10:50:00,-7.35,-45.89
1/27/2021 4:00:00,-7.57,-48.08
1/27/2021 5:00:00,-7.39,-47.35
1/27/2021 8:00:00,-7.44,-46.96
1/27/2021 12:00:00,-7.34,-46.37
1/28/2021 2:00:00,-7.65,-49.41
1/28/2021 4:00:00,NA,NA
1/27/2021 19:00:00,-8.01,-51.72
1/27/2021 6:00:00,-7.42,-46.94
1/28/2021 3:00:00,-7.78,-49.6
1/27/2021 23:00:00,-6.53,-46.42
1/27/2021 2:00:00,NA,NA
1/27/2021 4:00:00,NA,NA
1/27/2021 6:00:00,NA,NA
1/27/2021 3:00:00,NA,NA
1/27/2021 23:00:00,NA,NA
1/27/2021 5:00:00,NA,NA
1/27/2021 1:00:00,NA,NA
1/27/2021 0:00:00,NA,NA
1/27/2021 16:00:00,NA,NA
1/27/2021 19:00:00,NA,NA
1/27/2021 21:00:00,NA,NA
1/27/2021 23:00:00,NA,NA
1/28/2021 3:00:00,NA,NA
1/28/2021 5:00:00,NA,NA
1/28/2021 6:00:00,NA,NA
1/28/2021 7:00:00,NA,NA
1/28/2021 9:00:00,NA,NA
