Date,dO18,dD
4/5/2020,-8.05,-50.16
4/5/2020,-8.05,-49.7
5/19/2020,-7.18,-44.86
6/2/2020,-7.31,-45.51
7/22/2020,-7.19,-45.15
7/22/2020,-5.18,-38.5
7/22/2020,-7.34,-45.73
7/22/2020,-7.29,-45.97
7/22/2020,-5.81,-39.74
7/22/2020,-7.23,-45.22
7/22/2020,-7.2,-45.04
7/22/2020,-7.14,-44.76
7/22/2020,-7.26,-45.36
1/21/2021,-7.12,-45.24
1/21/2021,-6.91,-43.56
1/21/2021,-6.98,-44.21
1/21/2021,-6.95,-44.05
3/9/2021,-7.03,-47.26
3/10/2021,-7.81,-49.53
6/23/2021,-7.15,-45.47
6/29/2021,-7.49,-47.11
6/29/2022,-7.16,-45.18
6/29/2022,-7.08,-44.51
6/29/2022,-6.87,-43.49
6/29/2022,-7.18,-45.11
