datetime,Location,dO18,dD
12/12/2020 0:00:00,Arbor,-6.49,-37.74
12/12/2020 2:00:00,Arbor,-6.18,-40.8
12/17/2020 2:00:00,Arbor,-6.02,-30.78
12/17/2020 3:00:00,Arbor,-6.48,-34.17
12/17/2020 4:00:00,Arbor,-6.72,-35.85
12/17/2020 5:00:00,Arbor,-6.3,-32.95
12/17/2020 6:00:00,Arbor,-6.19,-32.14
12/30/2020 6:00:00,Arbor,-6.95,-41.47
1/4/2021 0:00:00,Bulk Arbor,-3.92,-16.43
1/22/2021 0:00:00,Bulk Arbor,-6.8,-39.12
1/26/2021 0:00:00,Arbor,-11.89,-79.42
1/28/2021 13:00:00,Arbor,-15.77,-110.63
1/28/2021 14:00:00,Arbor,-13.16,-85.06
1/30/2021 15:00:00,Arbor,-10.63,-62.37
2/2/2021 0:00:00,Bulk Arbor,-7.1,-39.88
2/4/2021 0:00:00,Bulk Arbor,-7.42,-44.06
3/10/2021 0:00:00,Bulk Arbor,-10.1,-59.78
3/19/2021 0:00:00,Bulk Arbor,-7.17,-42.36
