Optimization Results - Kumaraswamy,,,,,,,,,,,
"NDC (varying a[0.05,1], b=1)",,,,,,"SDC (varying a[0.05,1], b=1)",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
1,0.050,1.000,-7.000,200.000,1.851,1,0.050,1.000,-7.500,100.000,2.158
2,0.050,1.000,-7.000,200.000,1.851,2,0.050,1.000,-7.500,100.000,2.158
3,0.050,1.000,-7.000,200.000,1.851,3,0.050,1.000,-7.500,100.000,2.158
4,0.050,1.000,-7.000,200.000,1.851,4,0.050,1.000,-7.500,100.000,2.158
5,1.000,1.000,-7.000,200.001,2.598,5,1.000,1.000,-7.504,100.001,1.002
6,0.466,1.000,-7.000,200.000,0.648,6,1.000,1.000,-7.504,100.001,1.002
7,0.466,1.000,-7.000,200.000,0.648,7,1.000,1.000,-7.504,100.001,1.002
8,0.466,1.000,-7.000,200.000,0.648,8,1.000,1.000,-7.504,100.001,1.002
9,0.466,1.000,-7.000,200.000,0.648,9,0.695,1.000,-7.504,99.992,0.805
10,0.327,1.000,-7.000,199.997,0.600,10,0.695,1.000,-7.504,99.992,0.805
11,0.327,1.000,-7.000,199.997,0.600,11,0.695,1.000,-7.504,99.992,0.805
12,0.327,1.000,-7.000,199.997,0.600,12,0.695,1.000,-7.504,99.992,0.805
13,0.327,1.000,-7.000,199.997,0.600,13,0.773,1.000,-7.504,99.992,0.792
14,0.393,1.000,-7.000,199.997,0.523,14,0.773,1.000,-7.504,99.992,0.792
15,0.393,1.000,-7.000,199.997,0.523,15,0.773,1.000,-7.504,99.992,0.792
16,0.393,1.000,-7.000,199.997,0.523,16,0.773,1.000,-7.504,99.992,0.792
17,0.393,1.000,-7.000,199.997,0.523,17,0.752,1.000,-7.504,99.990,0.790
18,0.386,1.000,-7.000,199.995,0.522,18,0.752,1.000,-7.504,99.990,0.790
19,0.386,1.000,-7.000,199.995,0.522,19,0.752,1.000,-7.504,99.990,0.790
20,0.386,1.000,-7.000,199.995,0.522,20,0.752,1.000,-7.504,99.990,0.790
21,0.386,1.000,-7.000,199.995,0.522,21,0.754,1.000,-7.504,99.988,0.790
22,0.387,1.000,-7.000,199.994,0.522,22,0.754,1.000,-7.504,99.988,0.790
23,0.387,1.000,-7.000,199.994,0.522,23,0.754,1.000,-7.504,99.988,0.790
24,0.387,1.000,-7.000,199.994,0.522,24,0.754,1.000,-7.504,99.988,0.790
25,0.387,1.000,-7.000,199.994,0.522,25,0.754,1.000,-7.503,99.985,0.790
26,0.387,1.000,-7.000,199.993,0.522,26,0.754,1.000,-7.503,99.985,0.790
27,0.387,1.000,-7.000,199.993,0.522,27,0.754,1.000,-7.503,99.985,0.790
28,0.387,1.000,-7.000,199.993,0.522,28,0.754,1.000,-7.503,99.985,0.790
29,0.387,1.000,-7.000,199.993,0.522,29,0.777,1.000,-7.502,99.890,0.792
30,0.387,1.000,-7.000,199.983,0.522,30,0.757,1.000,-7.503,99.975,0.790
