datetime,dO18,dD
1/27/2021 21:00:00,-7.96,-52.53
1/28/2021 0:00:00,-7.89,-51.79
1/28/2021 3:00:00,-6.79,-48.58
1/28/2021 4:00:00,-8.11,-54.06
1/28/2021 5:00:00,-8.05,-56.35
1/28/2021 6:00:00,-8.44,-56.56
1/28/2021 7:00:00,-9.17,-61.24
1/28/2021 8:00:00,-8.96,-59.70
1/30/2021 12:00:00,-8.65,-56.87
2/2/2021 0:00:00,-8.27,-54.50
2/2/2021 5:00:00,-8.29,-54.07
2/2/2021 7:00:00,-8.20,-53.33
2/2/2021 8:00:00,-8.21,-53.49
2/2/2021 10:00:00,-8.25,-53.40
2/2/2021 14:00:00,-8.30,-53.45
2/2/2021 16:00:00,-8.19,-53.32
2/2/2021 20:00:00,-8.01,-52.46
2/3/2021 8:00:00,-7.82,-52.22
2/4/2021 12:00:00,-7.67,-51.29
2/4/2021 14:00:00,-8.00,-52.69
2/22/2021 0:00:00,-8.77,-59.59
