DateTime,ET_SSEBop,ET_SIMS,ET_PT_JPL,ET_DisALEXI,ET_geeSEBAL,P_gridMET,ET_Ref_ETo,NDVI
1/1/2020 0:00:00,0.72,0.50,1.30,0.48,0.00,0.00,1.62,0.39
1/2/2020 0:00:00,0.91,0.67,1.49,0.58,0.00,0.00,2.06,0.39
1/3/2020 0:00:00,0.86,0.66,1.27,0.53,0.00,0.00,1.97,0.39
1/4/2020 0:00:00,0.58,0.47,0.75,0.34,0.00,0.00,1.35,0.39
1/5/2020 0:00:00,0.73,0.62,0.82,0.41,0.00,0.00,1.71,0.39
1/6/2020 0:00:00,0.84,0.75,0.79,0.45,0.00,0.00,1.97,0.39
1/7/2020 0:00:00,0.77,0.73,0.86,0.44,0.11,0.00,1.80,0.40
1/8/2020 0:00:00,0.47,0.46,0.61,0.28,0.13,1.00,1.08,0.41
1/9/2020 0:00:00,0.44,0.45,0.64,0.27,0.18,8.20,0.99,0.42
1/10/2020 0:00:00,0.61,0.65,0.98,0.40,0.34,0.00,1.35,0.43
1/11/2020 0:00:00,0.54,0.59,0.95,0.36,0.36,0.80,1.17,0.44
1/12/2020 0:00:00,0.59,0.67,1.13,0.41,0.47,0.50,1.26,0.45
1/13/2020 0:00:00,0.47,0.55,0.97,0.34,0.43,2.00,0.99,0.46
1/14/2020 0:00:00,0.53,0.63,1.15,0.39,0.54,0.70,1.08,0.47
1/15/2020 0:00:00,0.57,0.69,1.22,0.41,0.56,0.00,1.17,0.47
1/16/2020 0:00:00,0.39,0.48,0.82,0.28,0.37,18.90,0.81,0.47
1/17/2020 0:00:00,0.61,0.74,1.25,0.43,0.55,0.00,1.26,0.47
1/18/2020 0:00:00,0.79,0.96,1.57,0.55,0.67,0.00,1.62,0.47
1/19/2020 0:00:00,1.01,1.22,1.97,0.69,0.81,0.00,2.06,0.47
1/20/2020 0:00:00,0.79,0.96,1.50,0.53,0.60,0.00,1.62,0.47
1/21/2020 0:00:00,0.52,0.64,0.98,0.35,0.38,2.10,1.08,0.47
1/22/2020 0:00:00,0.52,0.64,0.95,0.34,0.36,0.00,1.08,0.46
1/23/2020 0:00:00,0.65,0.80,1.16,0.42,0.42,0.00,1.35,0.46
1/24/2020 0:00:00,0.65,0.81,1.13,0.41,0.39,0.00,1.35,0.46
1/25/2020 0:00:00,0.57,0.70,0.95,0.35,0.32,2.40,1.17,0.46
1/26/2020 0:00:00,0.48,0.59,0.79,0.29,0.25,3.30,0.99,0.46
1/27/2020 0:00:00,0.70,0.86,1.11,0.42,0.33,0.00,1.44,0.46
1/28/2020 0:00:00,0.74,0.92,1.15,0.43,0.32,0.40,1.53,0.46
1/29/2020 0:00:00,1.09,1.35,1.63,0.63,0.42,0.00,2.24,0.46
1/30/2020 0:00:00,1.00,1.25,1.46,0.57,0.34,0.00,2.06,0.46
1/31/2020 0:00:00,1.17,1.47,1.66,0.65,0.35,0.00,2.42,0.45
2/1/2020 0:00:00,1.12,1.40,1.53,0.61,0.29,0.00,2.31,0.45
2/2/2020 0:00:00,0.73,0.92,0.97,0.39,0.16,0.00,1.51,0.45
2/3/2020 0:00:00,0.86,1.08,1.10,0.45,0.15,0.00,1.78,0.45
2/4/2020 0:00:00,1.03,1.30,1.27,0.53,0.13,0.00,2.13,0.45
2/5/2020 0:00:00,1.16,1.47,1.37,0.58,0.10,0.00,2.40,0.45
2/6/2020 0:00:00,1.03,1.30,1.17,0.50,0.05,0.00,2.13,0.45
2/7/2020 0:00:00,1.15,1.47,1.26,0.55,0.00,0.00,2.40,0.45
2/8/2020 0:00:00,1.01,1.27,1.11,0.50,0.00,0.00,2.04,0.45
2/9/2020 0:00:00,1.48,1.85,1.63,0.74,0.00,0.00,2.93,0.46
2/10/2020 0:00:00,1.83,2.27,2.02,0.94,0.01,0.00,3.55,0.47
2/11/2020 0:00:00,1.73,2.13,1.91,0.91,0.01,0.00,3.29,0.48
2/12/2020 0:00:00,1.15,1.40,1.27,0.61,0.00,0.00,2.13,0.48
2/13/2020 0:00:00,0.88,1.07,0.98,0.48,0.00,0.00,1.60,0.49
2/14/2020 0:00:00,1.00,1.20,1.11,0.55,0.01,0.00,1.78,0.50
2/15/2020 0:00:00,1.32,1.58,1.47,0.75,0.01,0.00,2.31,0.51
2/16/2020 0:00:00,1.02,1.30,1.29,1.06,0.78,0.00,2.13,0.45
2/17/2020 0:00:00,1.43,1.80,1.72,1.43,1.02,0.00,2.93,0.45
2/18/2020 0:00:00,1.24,1.54,1.42,1.19,0.82,0.00,2.49,0.45
2/19/2020 0:00:00,1.09,1.33,1.18,1.00,0.66,0.00,2.13,0.46
2/20/2020 0:00:00,1.16,1.40,1.19,1.03,0.65,0.00,2.22,0.46
2/21/2020 0:00:00,1.62,1.91,1.56,1.37,0.83,0.00,3.02,0.47
2/22/2020 0:00:00,1.07,1.25,0.98,0.87,0.50,0.00,1.96,0.47
