Date,P_in,tmin_degF,tmean_degF,tmax_degF,tdmean_degF,vpdmin_hPa,vpdmax_hPa
2020-10-01,0,73.4,83.1,92.7,43.1,21.96,43.53
2020-10-02,0,79.6,85.2,90.8,37.9,27.55,41.93
2020-10-03,0,78.2,83.7,89.2,38.1,26.08,39.47
2020-10-04,0,78.2,84.7,91.1,36.8,27.38,43.93
2020-10-05,0,71.7,80.4,89,32.3,21.55,40.3
2020-10-06,0,73.1,80.4,87.7,37.2,21.59,37.03
2020-10-07,0,70.5,78.6,86.6,40,18.99,35.74
2020-10-08,0,61.7,72.2,82.7,36.3,12.82,32.83
2020-10-09,0,50.1,58.8,67.6,45.7,0.68,14.95
2020-10-10,0,50.7,59.2,67.8,50.8,0.21,10.61
2020-10-11,0,53.5,60.7,68,53.6,0.32,9.36
2020-10-12,0,52.8,62.5,72.3,41,1.26,19.41
2020-10-13,0,62.3,71.9,81.4,36.7,12.06,29.53
2020-10-14,0,69.4,76.5,83.6,40,17.12,31.28
2020-10-15,0,67.6,76.2,84.8,39.1,12.79,34.02
2020-10-16,0,68.7,77.6,86.6,30,18.98,36.82
2020-10-17,0,67.6,77,86.4,31.7,17.53,37.05
2020-10-18,0,73.2,81.3,89.4,32.2,22.52,40.94
2020-10-19,0,68.7,76.8,84.9,36.6,15.57,33.34
2020-10-20,0,67.3,74.9,82.5,41.9,14.7,28.14
2020-10-21,0,69.1,76.1,83.1,37.9,17.3,31.17
2020-10-22,0,65.7,74.2,82.6,38.3,14.27,30.14
2020-10-23,0,54.9,65,75,30.2,8.26,24.35
2020-10-24,0,47.8,57.6,67.3,41.4,1.07,14.09
2020-10-25,0,51.2,57.7,64.1,48.9,1.2,8.8
2020-10-26,0,47.2,53.8,60.4,27.8,1.35,12.57
2020-10-27,0,47.4,56.9,66.4,-1.7,9.77,21.06
2020-10-28,0,55.3,62.8,70.4,17.2,12.04,21.99
2020-10-29,0,56.9,64.8,72.6,25.7,11.85,22.8
2020-10-30,0,59.1,66.5,74,28.9,12.43,23.13
2020-10-31,0,61.7,68,74.3,32.1,12.98,22.67
2020-11-01,0,64.3,71.1,77.8,26.8,13.49,27.63
2020-11-02,0,67.1,74.5,81.9,24.7,16.64,33.09
2020-11-03,0,62.5,72.5,82.6,27.1,12.09,33.57
2020-11-04,0,59.7,68.2,76.7,27.5,11.6,27.75
2020-11-05,0,60.1,66.8,73.5,41.7,7.46,17.41
2020-11-06,0,50.6,64.9,79.2,42.9,0.5,24.96
2020-11-07,0.02,39.6,45.4,51.3,37.5,0.3,6.2
2020-11-08,0,38.8,45.1,51.5,35.6,0.4,5.94
2020-11-09,0.02,36.4,41.5,46.6,26.9,0.51,5.91
2020-11-10,0,37.5,43.7,49.9,18,2.61,8.74
2020-11-11,0,40.7,48.7,56.6,27.6,0.56,11.35
2020-11-12,0,41.8,48.2,54.7,37.8,0.68,6.52
2020-11-13,0,42.6,50.3,57.9,31.8,2.09,10.17
2020-11-14,0.21,43.8,49,54.2,36.4,0.21,8.67
2020-11-15,0,42.1,48.8,55.5,39.5,0.41,7.07
2020-11-16,0,48,56.4,64.7,34.6,3.55,15.61
2020-11-17,0,55.5,64.1,72.7,36.5,5.78,20.53
2020-11-18,0.53,50,55.7,61.4,43.6,0.14,13.68
2020-11-19,0.4,44.6,48.4,52.2,46.2,0.13,2.32
2020-11-20,0,44.4,49.8,55.2,35.9,1.47,6.75
2020-11-21,0,44,51,58,25.8,3.39,10.94
2020-11-22,0,45.9,52.5,59.2,23.4,5.05,11.84
2020-11-23,0,43.4,53,62.5,29.1,1.15,14.62
2020-11-24,0,44,48.8,53.7,40.5,0.16,5.07
2020-11-25,0,42.4,50.5,58.6,34.3,0.73,10
2020-11-26,0,42.9,47.7,52.6,35.2,0.43,5.64
2020-11-27,0,42.6,48.2,53.7,19.8,4.12,10.03
2020-11-28,0,43.7,51,58.4,18.7,5.08,13.13
2020-11-29,0,45.7,53.9,62,21.3,5.53,15.15
2020-11-30,0,49.3,55.9,62.5,20.9,6.97,15.58
2020-12-01,0,47.8,55.6,63.4,23,5.5,15.12
2020-12-02,0,46,53.9,61.9,28.5,4.2,12.86
2020-12-03,0,48.7,54.8,60.9,26.9,5.19,12.99
2020-12-04,0,49.7,56.4,63,25.6,5.96,14.87
2020-12-05,0,50.6,57.2,63.9,24.1,6.46,15.55
2020-12-06,0,49.2,57.9,66.6,23.9,5.76,18.48
2020-12-07,0,46.8,51.4,56,32.7,2.17,8.73
2020-12-08,0,47.3,55.8,64.3,22.1,6.81,16.58
2020-12-09,0,55.3,62.2,69.1,18.4,10.23,20.46
2020-12-10,0,50.3,57.4,64.5,22.8,6.12,17.51
2020-12-11,0,38.9,50.2,61.4,26,0.86,14.32
2020-12-12,0.6,37.9,43.8,49.8,36.2,0.13,6.66
2020-12-13,0.15,43.3,46.8,50.2,43.2,0.11,3.06
2020-12-14,0.66,39.5,44.1,48.8,42.9,0.11,1.3
2020-12-15,0,37,42.5,47.9,34.5,0.32,4.67
2020-12-16,0,43.4,48,52.6,34,1.83,7.67
2020-12-17,0.25,43.3,50.6,57.9,40.8,0.23,6.97
2020-12-18,0.21,39.9,43.5,47,38.5,0.12,3.5
2020-12-19,0,39.9,46.9,54,25.7,2.68,9.44
2020-12-20,0,43.3,50.9,58.5,27.2,2.71,11.48
2020-12-21,0,44.1,51.8,59.6,29.3,2.85,12.54
2020-12-22,0,45.4,55.4,65.4,28.3,1.56,17.21
2020-12-23,0,40,46.4,52.8,28.5,0.46,8.39
2020-12-24,0,38.9,47.2,55.5,20,3.72,11.76
2020-12-25,0,48.7,54.1,59.5,22.1,5.83,15.04
2020-12-26,0.07,46.7,52.1,57.5,34.8,0.27,11.35
2020-12-27,0.02,41.6,46.5,51.4,38.6,0.34,4.51
2020-12-28,0.06,38.2,44.6,51,33.4,0.76,6.35
2020-12-29,0,38.1,42.1,46,34.8,0.28,3.6
2020-12-30,0,39.2,47,54.8,22.1,1.93,10.12
2020-12-31,0.1,41.4,48.5,55.6,27.8,0.26,11.42
2021-01-01,0.04,37.9,44.3,50.6,36.2,0.37,5.24
2021-01-02,0,39.4,46.5,53.7,34.2,2.2,7.13
2021-01-03,0.14,44,46.3,48.5,44.9,0,3.06
2021-01-04,0,41.4,46.9,52.3,42.8,0.22,4.56
2021-01-05,0.17,38.3,43.8,49.2,42.8,0.07,2.37
2021-01-06,0,36.6,43.7,50.8,34.3,0.36,6.06
2021-01-07,0,39.9,48.5,57.1,33.1,0.98,11.2
2021-01-08,0,42.2,49.3,56.4,37.7,0.71,7.67
2021-01-09,0,36.3,45.6,54.9,41.2,0.26,4.99
2021-01-10,0,37.8,46.6,55.5,29,1.49,10.15
2021-01-11,0,40.7,48.5,56.2,39.6,0.34,8.3
2021-01-12,0,40.6,49.3,58,41.3,0.5,6.47
2021-01-13,0,43.8,50.3,56.7,39.9,1.86,7.8
2021-01-14,0,46.2,55.4,64.5,46.7,0.31,8.74
2021-01-15,0,47.5,57.7,67.8,36.3,1.13,13.6
2021-01-16,0,52.3,60.9,69.5,36.1,5.98,17.2
2021-01-17,0,51.3,61.1,70.8,38.3,4.99,18.05
2021-01-18,0,49.3,59.3,69.2,34.1,4.86,17.88
2021-01-19,0,46.2,56.2,66.1,16,6.04,18.83
