datetime,dO18,dD
11/26/2019 16:00:00,-8.88,-68.83
11/26/2019 17:00:00,-16.77,-127.19
11/26/2019 19:00:00,-6.45,-35.92
11/26/2019 20:00:00,-8.08,-39.49
11/27/2019 9:00:00,-12.25,-77.55
11/27/2019 7:00:00,-15,-98.73
11/29/2019 16:00:00,-8.04,-36.58
11/30/2019 12:00:00,-12.87,-94.15
11/30/2019 13:00:00,-12.34,-93.1
12/1/2019 17:00:00,-12.96,-82.25
12/2/2019 5:00:00,-9.35,-59.48
12/2/2019 10:00:00,-8.58,-54.14
12/2/2019 9:00:00,-7.87,-47.66
12/2/2019 7:00:00,-7.29,-46.38
12/4/2019 16:35:00,-15.96,-126.01
12/4/2019 7:53:00,-10.14,-67.51
12/8/2019 13:00:00,-5.44,-28.94
12/11/2019 12:00:00,-6.74,-50.26
12/15/2019 12:00:00,-3.88,-15.81
1/16/2020 11:00:00,-11.91,-80.11
1/17/2020 11:00:00,-5.11,-29.59
4/4/2020 22:45:00,-2.78,-18.85
4/5/2020 2:45:00,-8.45,-55.24
4/5/2020 6:45:00,-8.08,-52.43
4/5/2020 10:45:00,-6.82,-41.82
4/5/2020 14:45:00,-5.54,-33.95
4/5/2020 18:45:00,-7.59,-47.92
4/6/2020 2:45:00,-11.17,-77.92
4/21/2020 0:00:00,-7.02,-44.05
12/12/2020 2:00:00,-6.18,-40.8
12/12/2020 0:00:00,-6.49,-37.74
12/17/2020 2:00:00,-6.02,-30.78
12/17/2020 3:00:00,-6.48,-34.17
12/17/2020 4:00:00,-6.72,-35.85
12/17/2020 5:00:00,-6.3,-32.95
12/17/2020 6:00:00,-6.19,-32.14
3/27/2020 0:00:00,-8.42,-49.17
5/20/2020 0:00:00,-4.05,-22.64
3/18/2020 0:00:00,-8.8,-50.98
12/30/2020 6:00:00,-6.95,-41.47
1/22/2021 0:00:00,-6.8,-39.12
1/26/2021 0:00:00,-11.89,-79.42
1/30/2021 14:30:00,-10.63,-62.37
1/28/2021 14:30:00,-13.16,-85.06
1/28/2021 12:30:00,-15.77,-110.63
3/10/2021 0:00:00,-10.1,-59.78
2/2/2021 0:00:00,-7.1,-39.88
3/19/2021 0:00:00,-7.17,-42.36
1/4/2021 0:00:00,-3.92,-16.43
2/4/2021 0:00:00,-7.42,-44.06
10/25/2021 0:00:00,-6.71,-41.89
12/13/2021 15:00:00,-10.68,-64.82
12/15/2021 15:00:00,-9.57,-49.59
4/22/2022 0:00:00,-3.87,-15.75
10/22/2022 8:00:00,-3.7,-18.8
11/3/2022 0:00:00,-6,-30.48
11/8/2022 0:25:00,-6.63,-22.3
11/8/2022 2:25:00,-8.35,-39.54
11/8/2022 4:25:00,-7.75,-36.15
11/8/2022 6:25:00,-9.32,-49.43
11/8/2022 8:25:00,-10.99,-62.41
11/8/2022 10:25:00,-13.47,-80.86
11/8/2022 12:25:00,-14.2,-83.83
11/8/2022 14:25:00,-13.12,-77.23
11/8/2022 16:25:00,-12.74,-70.85
11/9/2022 2:25:00,-9.38,-43.1
12/2/2022 13:30:00,-8.46,-39.64
12/3/2022 8:00:00,-11.35,-74.72
12/3/2022 6:00:00,-5.8,-33.08
12/3/2022 8:00:00,-10.66,-74.23
12/3/2022 10:00:00,-13.04,-95.58
12/3/2022 12:00:00,-12.23,-90.01
12/3/2022 14:00:00,-11.21,-77.78
12/3/2022 16:00:00,-12.02,-82.19
12/3/2022 18:00:00,-9.52,-60.69
12/3/2022 20:00:00,-7.3,-40.12
12/3/2022 22:00:00,-7.1,-41.05
12/4/2022 0:00:00,-7.66,-46.39
12/4/2022 6:00:00,-5.91,-20.5
12/9/2022 15:00:00,-6.65,-40.84
12/10/2022 8:00:00,-6.86,-33
12/10/2022 16:00:00,-7.69,-44.68
12/10/2022 22:00:00,-7.82,-45.09
12/11/2022 8:00:00,-11.55,-64.9
12/11/2022 18:00:00,-13.39,-83.16
12/27/2022 12:30:00,-14.07,-129.56
12/26/2022 20:00:00,-4.43,-54.44
12/27/2022 0:30:00,-5.97,-40.27
12/27/2022 2:30:00,-5.3,-30.76
12/27/2022 4:30:00,-7.75,-53.22
12/27/2022 6:30:00,-11.8,-98.9
12/27/2022 10:00:00,-8.04,-57.36
12/27/2022 13:30:00,-6.68,-42.85
