DateTime,Ensemble ET,Precip (gridMET)
2021-01-01 00:00:00,0.505,1.167
2021-01-02 00:00:00,0.332,0.808
2021-01-03 00:00:00,0.315,0.808
2021-01-04 00:00:00,0.298,0.808
2021-01-05 00:00:00,0.374,1.077
2021-01-06 00:00:00,0.381,1.167
2021-01-07 00:00:00,0.493,1.615
2021-01-08 00:00:00,0.331,1.167
2021-01-09 00:00:00,0.448,1.705
2021-01-10 00:00:00,0.325,1.346
2021-01-11 00:00:00,0.276,1.256
2021-01-12 00:00:00,0.232,1.167
2021-01-13 00:00:00,0.271,1.526
2021-01-14 00:00:00,0.392,2.513
2021-01-15 00:00:00,0.424,3.141
2021-01-16 00:00:00,0.357,3.141
2021-01-17 00:00:00,0.631,3.051
2021-01-18 00:00:00,0.844,3.949
2021-01-19 00:00:00,0.95,4.308
2021-01-20 00:00:00,0.592,2.603
2021-01-21 00:00:00,0.484,2.064
2021-01-22 00:00:00,0.217,0.897
2021-01-23 00:00:00,0.29,1.167
2021-01-24 00:00:00,0.183,0.718
2021-01-25 00:00:00,0.329,1.256
2021-01-26 00:00:00,0.314,1.167
2021-01-27 00:00:00,0.248,0.897
2021-01-28 00:00:00,0.203,0.718
2021-01-29 00:00:00,0.312,1.077
2021-01-30 00:00:00,0.506,1.705
2021-01-31 00:00:00,0.708,2.333
2021-02-01 00:00:00,0.717,2.31
2021-02-02 00:00:00,0.261,0.8
2021-02-03 00:00:00,0.425,1.244
2021-02-04 00:00:00,0.603,1.688
2021-02-05 00:00:00,0.961,2.577
2021-02-06 00:00:00,1.105,2.843
2021-02-07 00:00:00,1.005,2.488
2021-02-08 00:00:00,1.007,2.399
2021-02-09 00:00:00,0.696,1.599
2021-02-10 00:00:00,0.721,1.599
2021-02-11 00:00:00,0.581,1.244
2021-02-12 00:00:00,0.6,1.244
2021-02-13 00:00:00,0.531,1.066
2021-02-14 00:00:00,0.593,1.155
2021-02-15 00:00:00,0.329,0.622
2021-02-16 00:00:00,0.775,1.422
2021-02-17 00:00:00,1.345,2.399
2021-02-18 00:00:00,1.288,2.399
2021-02-19 00:00:00,0.685,1.333
2021-02-20 00:00:00,0.827,1.688
2021-02-21 00:00:00,1.078,2.31
2021-02-22 00:00:00,1.3,2.932
2021-02-23 00:00:00,1.716,4.087
2021-02-24 00:00:00,1.021,2.577
2021-02-25 00:00:00,1.06,2.843
2021-02-26 00:00:00,1.001,2.577
2021-02-27 00:00:00,1.687,4.176
2021-02-28 00:00:00,1.603,3.82
2021-03-01 00:00:00,1.782,4.096
2021-03-02 00:00:00,1.148,2.549
2021-03-03 00:00:00,1.146,2.458
2021-03-04 00:00:00,1.184,2.458
2021-03-05 00:00:00,1.267,2.549
2021-03-06 00:00:00,1.276,1.911
2021-03-07 00:00:00,1.483,2.275
2021-03-08 00:00:00,1.158,1.82
2021-03-09 00:00:00,0.903,1.456
2021-03-10 00:00:00,0.715,1.183
2021-03-11 00:00:00,0.911,1.547
2021-03-12 00:00:00,1.459,2.549
2021-03-13 00:00:00,1.267,2.275
2021-03-14 00:00:00,0.625,1.092
2021-03-15 00:00:00,0.643,1.092
2021-03-16 00:00:00,1.265,2.093
2021-03-17 00:00:00,1.185,1.911
2021-03-18 00:00:00,0.926,1.456
2021-03-19 00:00:00,0.89,1.365
2021-03-20 00:00:00,1.458,2.184
2021-03-21 00:00:00,2.053,3.004
2021-03-22 00:00:00,1.753,2.367
2021-03-23 00:00:00,2.258,3.186
2021-03-24 00:00:00,2.464,3.641
2021-03-25 00:00:00,1.467,2.275
2021-03-26 00:00:00,2.119,3.459
2021-03-27 00:00:00,1.955,3.368
2021-03-28 00:00:00,2.047,3.732
2021-03-29 00:00:00,2.022,3.914
2021-03-30 00:00:00,2.614,4.915
2021-03-31 00:00:00,2.541,4.642
2021-04-01 00:00:00,2.461,4.374
2021-04-02 00:00:00,2.374,4.106
2021-04-03 00:00:00,2.013,3.392
2021-04-04 00:00:00,1.848,3.035
2021-04-05 00:00:00,1.839,2.946
2021-04-06 00:00:00,2.341,3.66
2021-04-07 00:00:00,2.143,3.481
2021-04-08 00:00:00,2.629,4.106
2021-04-09 00:00:00,2.433,3.66
2021-04-10 00:00:00,2.954,4.285
2021-04-11 00:00:00,3.315,4.642
2021-04-12 00:00:00,3.363,4.552
2021-04-13 00:00:00,2.657,3.481
2021-04-14 00:00:00,2.743,3.481
2021-04-15 00:00:00,3.018,3.928
2021-04-16 00:00:00,3.343,4.463
2021-04-17 00:00:00,3.711,5.088
2021-04-18 00:00:00,4.309,6.07
2021-04-19 00:00:00,3.39,4.91
2021-04-20 00:00:00,2.156,3.213
2021-04-21 00:00:00,2.501,3.838
2021-04-22 00:00:00,2.539,4.017
2021-04-23 00:00:00,2.411,3.749
2021-04-24 00:00:00,1.661,2.678
2021-04-25 00:00:00,0.96,1.607
2021-04-26 00:00:00,1.743,3.035
2021-04-27 00:00:00,2.264,4.106
2021-04-28 00:00:00,2.831,5.356
2021-04-29 00:00:00,2.844,5.624
2021-04-30 00:00:00,2.543,5.267
2021-05-01 00:00:00,1.928,4.158
2021-05-02 00:00:00,2.163,4.866
2021-05-03 00:00:00,2.861,6.723
2021-05-04 00:00:00,2.516,6.193
2021-05-05 00:00:00,2.158,5.573
2021-05-06 00:00:00,1.661,4.512
2021-05-07 00:00:00,1.637,4.689
2021-05-08 00:00:00,2.306,6.989
2021-05-09 00:00:00,3.584,6.281
2021-05-10 00:00:00,3.628,6.193
2021-05-11 00:00:00,3.617,6.016
2021-05-12 00:00:00,3.763,6.104
2021-05-13 00:00:00,3.521,5.573
2021-05-14 00:00:00,3.148,4.866
2021-05-15 00:00:00,2.285,3.45
2021-05-16 00:00:00,2.757,4.069
2021-05-17 00:00:00,2.735,4.246
2021-05-18 00:00:00,3.079,5.043
2021-05-19 00:00:00,2.246,3.892
2021-05-20 00:00:00,2.308,4.246
2021-05-21 00:00:00,2.256,4.423
2021-05-22 00:00:00,2.149,4.512
2021-05-23 00:00:00,1.881,4.246
2021-05-24 00:00:00,2.245,5.485
2021-05-25 00:00:00,2.728,4.512
2021-05-26 00:00:00,3.262,5.75
2021-05-27 00:00:00,2.673,5.043
2021-05-28 00:00:00,2.355,4.777
2021-05-29 00:00:00,2.016,4.423
2021-05-30 00:00:00,2.628,6.281
2021-05-31 00:00:00,2.799,7.343
2021-06-01 00:00:00,2.424,7.046
2021-06-02 00:00:00,2.409,6.511
2021-06-03 00:00:00,2.578,6.511
2021-06-04 00:00:00,2.747,6.511
2021-06-05 00:00:00,2.916,6.511
2021-06-06 00:00:00,2.747,5.798
2021-06-07 00:00:00,2.318,4.638
2021-06-08 00:00:00,2.204,4.192
2021-06-09 00:00:00,2.264,4.103
2021-06-10 00:00:00,2.416,4.638
2021-06-11 00:00:00,2.438,5.084
2021-06-12 00:00:00,2.384,5.441
2021-06-13 00:00:00,2.018,5.084
2021-06-14 00:00:00,1.649,4.638
2021-06-15 00:00:00,2.159,6.868
2021-06-16 00:00:00,2.094,7.671
2021-06-17 00:00:00,2.108,9.098
2021-06-18 00:00:00,2.045,8.117
2021-06-19 00:00:00,2.209,8.117
2021-06-20 00:00:00,2.191,7.492
2021-06-21 00:00:00,1.924,6.154
2021-06-22 00:00:00,1.692,5.084
2021-06-23 00:00:00,1.732,4.906
2021-06-24 00:00:00,1.865,4.995
2021-06-25 00:00:00,2.282,5.798
2021-06-26 00:00:00,2.431,6.868
2021-06-27 00:00:00,2.312,6.69
2021-06-28 00:00:00,2.195,6.511
2021-06-29 00:00:00,2.258,6.868
2021-06-30 00:00:00,1.715,5.352
2021-07-01 00:00:00,1.693,5.427
2021-07-02 00:00:00,1.805,5.944
2021-07-03 00:00:00,1.678,5.685
2021-07-04 00:00:00,1.642,5.685
2021-07-05 00:00:00,1.703,6.03
2021-07-06 00:00:00,1.617,5.858
2021-07-07 00:00:00,1.603,5.944
2021-07-08 00:00:00,2.018,7.666
2021-07-09 00:00:00,2.168,8.442
2021-07-10 00:00:00,2.222,8.872
2021-07-11 00:00:00,1.892,7.753
2021-07-12 00:00:00,1.614,6.805
2021-07-13 00:00:00,1.523,5.685
2021-07-14 00:00:00,1.75,5.858
2021-07-15 00:00:00,1.844,5.599
2021-07-16 00:00:00,2.172,6.03
2021-07-17 00:00:00,2.66,6.805
2021-07-18 00:00:00,3.015,7.15
2021-07-19 00:00:00,3.156,6.977
2021-07-20 00:00:00,2.998,6.719
2021-07-21 00:00:00,2.956,6.719
2021-07-22 00:00:00,2.914,6.719
2021-07-23 00:00:00,3.056,7.15
2021-07-24 00:00:00,2.975,7.063
2021-07-25 00:00:00,2.966,7.15
2021-07-26 00:00:00,2.675,6.547
2021-07-27 00:00:00,2.218,5.513
2021-07-28 00:00:00,1.502,6.288
2021-07-29 00:00:00,1.814,7.408
2021-07-30 00:00:00,1.773,7.063
2021-07-31 00:00:00,1.661,6.46
2021-08-01 00:00:00,1.389,5.277
2021-08-02 00:00:00,1.443,5.361
2021-08-03 00:00:00,1.868,6.785
2021-08-04 00:00:00,1.697,6.031
2021-08-05 00:00:00,1.381,5.026
2021-08-06 00:00:00,1.729,6.45
2021-08-07 00:00:00,1.621,6.198
2021-08-08 00:00:00,1.558,6.115
2021-08-09 00:00:00,1.476,5.947
2021-08-10 00:00:00,1.518,6.282
2021-08-11 00:00:00,1.476,6.282
2021-08-12 00:00:00,1.53,6.701
2021-08-13 00:00:00,2.001,6.366
2021-08-14 00:00:00,1.992,6.701
2021-08-15 00:00:00,1.972,7.036
2021-08-16 00:00:00,1.763,6.701
2021-08-17 00:00:00,1.299,5.277
2021-08-18 00:00:00,1.113,4.858
2021-08-19 00:00:00,1.083,5.11
2021-08-20 00:00:00,0.914,4.691
2021-08-21 00:00:00,0.823,4.104
2021-08-22 00:00:00,0.916,4.439
2021-08-23 00:00:00,0.995,4.691
2021-08-24 00:00:00,1.021,4.691
2021-08-25 00:00:00,1.03,4.607
2021-08-26 00:00:00,1.363,5.947
2021-08-27 00:00:00,1.613,6.869
2021-08-28 00:00:00,1.572,6.533
2021-08-29 00:00:00,1.176,6.533
2021-08-30 00:00:00,1.25,6.45
2021-08-31 00:00:00,1.234,5.947
2021-09-01 00:00:00,0.949,4.29
2021-09-02 00:00:00,0.949,4.037
2021-09-03 00:00:00,1.276,5.131
2021-09-04 00:00:00,1.347,5.131
2021-09-05 00:00:00,1.673,6.056
2021-09-06 00:00:00,1.756,6.56
2021-09-07 00:00:00,2.027,7.822
2021-09-08 00:00:00,1.749,6.981
2021-09-09 00:00:00,1.466,6.056
2021-09-10 00:00:00,1.041,4.458
2021-09-11 00:00:00,1.097,4.878
2021-09-12 00:00:00,1.201,5.551
2021-09-13 00:00:00,1.223,5.888
2021-09-14 00:00:00,1.081,5.383
2021-09-15 00:00:00,1.01,5.131
2021-09-16 00:00:00,0.779,4.037
2021-09-17 00:00:00,0.747,3.953
2021-09-18 00:00:00,0.545,2.944
2021-09-19 00:00:00,0.564,3.112
2021-09-20 00:00:00,0.895,5.046
2021-09-21 00:00:00,0.846,4.878
2021-09-22 00:00:00,0.845,4.878
2021-09-23 00:00:00,0.844,4.878
2021-09-24 00:00:00,0.814,4.71
2021-09-25 00:00:00,0.682,3.953
2021-09-26 00:00:00,0.58,3.364
2021-09-27 00:00:00,0.376,2.187
2021-09-28 00:00:00,0.621,3.617
2021-09-29 00:00:00,0.736,4.29
2021-09-30 00:00:00,0.923,4.626
2021-10-01 00:00:00,0.922,4.393
2021-10-02 00:00:00,0.872,3.962
2021-10-03 00:00:00,0.933,4.049
2021-10-04 00:00:00,1.12,4.652
2021-10-05 00:00:00,0.93,3.704
2021-10-06 00:00:00,0.72,2.757
2021-10-07 00:00:00,0.889,3.273
2021-10-08 00:00:00,0.786,3.015
2021-10-09 00:00:00,0.732,2.929
2021-10-10 00:00:00,0.844,3.532
2021-10-11 00:00:00,1.139,4.996
2021-10-12 00:00:00,1.066,4.91
2021-10-13 00:00:00,0.657,3.187
2021-10-14 00:00:00,0.706,3.618
2021-10-15 00:00:00,0.667,3.618
2021-10-16 00:00:00,0.85,4.221
2021-10-17 00:00:00,0.781,2.67
2021-10-18 00:00:00,0.793,2.067
2021-10-19 00:00:00,1.268,2.67
2021-10-20 00:00:00,1.219,2.154
2021-10-21 00:00:00,1.189,1.809
2021-10-22 00:00:00,0.773,1.034
2021-10-23 00:00:00,1.085,1.292
2021-10-24 00:00:00,0.213,0.258
2021-10-25 00:00:00,0.836,1.034
2021-10-26 00:00:00,1.025,1.292
2021-10-27 00:00:00,1.875,2.412
2021-10-28 00:00:00,0.525,0.689
2021-10-29 00:00:00,0.514,0.689
2021-10-30 00:00:00,0.441,0.603
2021-10-31 00:00:00,0.924,1.292
2021-11-01 00:00:00,0.607,0.867
2021-11-02 00:00:00,0.772,1.128
2021-11-03 00:00:00,1.161,1.735
2021-11-04 00:00:00,0.794,1.214
2021-11-05 00:00:00,1.218,1.908
2021-11-06 00:00:00,0.972,1.561
2021-11-07 00:00:00,1.106,1.822
2021-11-08 00:00:00,1.334,2.255
2021-11-09 00:00:00,0.75,1.301
2021-11-10 00:00:00,0.924,1.648
2021-11-11 00:00:00,1.229,2.255
2021-11-12 00:00:00,1.332,2.516
2021-11-13 00:00:00,1.516,2.949
2021-11-14 00:00:00,1.427,2.863
2021-11-15 00:00:00,0.964,1.995
2021-11-16 00:00:00,0.73,1.561
2021-11-17 00:00:00,0.698,1.561
2021-11-18 00:00:00,0.514,1.214
2021-11-19 00:00:00,0.589,1.475
2021-11-20 00:00:00,0.554,1.475
2021-11-21 00:00:00,0.978,2.776
2021-11-22 00:00:00,0.855,2.602
2021-11-23 00:00:00,0.714,2.342
2021-11-24 00:00:00,0.732,2.602
2021-11-25 00:00:00,0.672,2.255
2021-11-26 00:00:00,0.682,2.169
2021-11-27 00:00:00,0.833,2.516
2021-11-28 00:00:00,0.723,2.082
2021-11-29 00:00:00,0.979,2.689
2021-11-30 00:00:00,0.99,2.602
2021-12-01 00:00:00,1.088,2.74
2021-12-02 00:00:00,0.642,1.553
2021-12-03 00:00:00,0.537,1.462
2021-12-04 00:00:00,0.616,1.462
2021-12-05 00:00:00,1.174,2.466
2021-12-06 00:00:00,0.871,1.644
2021-12-07 00:00:00,0.48,0.822
2021-12-08 00:00:00,0.466,0.731
2021-12-09 00:00:00,0.316,0.457
2021-12-10 00:00:00,0.682,0.913
2021-12-11 00:00:00,0.847,1.188
2021-12-12 00:00:00,0.373,0.548
2021-12-13 00:00:00,0.118,0.183
2021-12-14 00:00:00,0.28,0.457
2021-12-15 00:00:00,0.371,0.639
2021-12-16 00:00:00,0.3,0.548
2021-12-17 00:00:00,0.516,1.005
2021-12-18 00:00:00,0.527,1.096
2021-12-19 00:00:00,0.618,1.005
2021-12-20 00:00:00,0.386,0.639
2021-12-21 00:00:00,0.702,1.188
2021-12-22 00:00:00,0.635,1.096
2021-12-23 00:00:00,0.518,0.913
2021-12-24 00:00:00,0.203,0.365
2021-12-25 00:00:00,0.149,0.274
2021-12-26 00:00:00,0.291,0.548
2021-12-27 00:00:00,0.142,0.274
2021-12-28 00:00:00,0.277,0.548
2021-12-29 00:00:00,0.226,0.457
2021-12-30 00:00:00,0.352,0.731
2021-12-31 00:00:00,0.3,0.639
