datetime,dO18,dD
1/21/2021 9:00:00,-7.11,-44.45
1/21/2021 11:00:00,-7.35,-45.89
1/27/2021 4:00:00,-7.57,-48.08
1/27/2021 5:00:00,-7.39,-47.35
1/27/2021 6:00:00,-7.42,-46.94
1/27/2021 8:00:00,-7.44,-46.96
1/27/2021 12:00:00,-7.34,-46.37
1/27/2021 19:00:00,-8.01,-51.72
1/27/2021 23:00:00,-6.53,-46.42
1/28/2021 2:00:00,-7.65,-49.41
1/28/2021 3:00:00,-7.78,-49.60
1/28/2021 8:00:00,-8.31,-53.95
1/28/2021 10:00:00,-8.25,-53.76
1/28/2021 14:00:00,-8.45,-54.75
1/28/2021 16:00:00,-8.53,-54.94
1/28/2021 22:00:00,-8.50,-55.17
1/29/2021 12:00:00,-8.19,-53.68
1/30/2021 12:00:00,-8.13,-52.34
2/2/2021 8:00:00,-7.60,-49.60
2/2/2021 12:00:00,-7.98,-51.02
2/2/2021 14:00:00,-7.93,-50.68
2/3/2021 10:00:00,-7.69,-50.62
2/4/2021 9:00:00,-7.88,-50.31
2/4/2021 10:00:00,-7.56,-50.14
