DateTime,P_gridMET,ET_Ref_ ETo,NDVI,ET_SSEBop,ET_geeSEBAL,ET_DisALEXI,ET_SIMS,ET_PT_JPL
1/1/2020 0:00:00,0.00,1.62,0.40,0.70,0.00,0.50,0.61,1.29
1/2/2020 0:00:00,0.00,2.06,0.40,0.91,0.00,0.63,0.82,1.49
1/3/2020 0:00:00,0.00,1.97,0.40,0.89,0.00,0.59,0.82,1.27
1/4/2020 0:00:00,0.00,1.35,0.40,0.62,0.00,0.39,0.58,0.76
1/5/2020 0:00:00,0.00,1.71,0.40,0.81,0.00,0.48,0.77,0.82
1/6/2020 0:00:00,0.00,1.97,0.40,0.96,0.00,0.55,0.93,0.80
1/7/2020 0:00:00,0.00,1.80,0.41,0.88,0.12,0.54,0.88,0.87
1/8/2020 0:00:00,1.00,1.08,0.42,0.53,0.14,0.35,0.55,0.61
1/9/2020 0:00:00,8.20,0.99,0.43,0.49,0.20,0.34,0.52,0.64
1/10/2020 0:00:00,0.00,1.35,0.45,0.68,0.36,0.50,0.74,0.98
1/11/2020 0:00:00,0.80,1.17,0.46,0.60,0.39,0.46,0.66,0.95
1/12/2020 0:00:00,0.50,1.26,0.47,0.65,0.50,0.52,0.74,1.12
1/13/2020 0:00:00,2.00,0.99,0.48,0.52,0.46,0.43,0.60,0.96
1/14/2020 0:00:00,0.70,1.08,0.49,0.57,0.57,0.50,0.68,1.14
1/15/2020 0:00:00,0.00,1.17,0.49,0.62,0.60,0.53,0.73,1.21
1/16/2020 0:00:00,18.90,0.81,0.49,0.43,0.40,0.36,0.51,0.82
1/17/2020 0:00:00,0.00,1.26,0.49,0.67,0.59,0.56,0.79,1.25
1/18/2020 0:00:00,0.00,1.62,0.49,0.87,0.72,0.72,1.02,1.57
1/19/2020 0:00:00,0.00,2.06,0.49,1.12,0.88,0.91,1.30,1.96
1/20/2020 0:00:00,0.00,1.62,0.49,0.88,0.65,0.70,1.02,1.50
1/21/2020 0:00:00,2.10,1.08,0.49,0.59,0.41,0.46,0.68,0.98
1/22/2020 0:00:00,0.00,1.08,0.49,0.59,0.39,0.46,0.68,0.96
1/23/2020 0:00:00,0.00,1.35,0.48,0.74,0.46,0.57,0.86,1.17
1/24/2020 0:00:00,0.00,1.35,0.48,0.75,0.43,0.56,0.86,1.14
1/25/2020 0:00:00,2.40,1.17,0.48,0.65,0.35,0.48,0.74,0.96
1/26/2020 0:00:00,3.30,0.99,0.48,0.55,0.27,0.41,0.63,0.79
1/27/2020 0:00:00,0.00,1.44,0.48,0.81,0.37,0.58,0.92,1.12
