Date,P_in,tmin_degF,tmean_degF,tmax_degF,tdmean_degF,vpdmin_hPa,vpdmax_hPa
2020-10-01,0,73.6,83,92.4,43,21.96,43.01
2020-10-02,0,79.5,85,90.6,37.8,27.42,41.5
2020-10-03,0,78,83.5,88.9,38,25.84,39.09
2020-10-04,0,78,84.4,90.8,36.8,27.14,43.47
2020-10-05,0,71.6,80.2,88.7,32.2,21.62,40.13
2020-10-06,0,72.8,80.1,87.4,37.1,21.43,36.78
2020-10-07,0,70.4,78.4,86.4,39.9,18.96,35.47
2020-10-08,0,61.4,71.9,82.4,36.2,12.68,32.52
2020-10-09,0,50,58.8,67.6,45.6,0.68,14.83
2020-10-10,0,50.6,59.1,67.6,50.7,0.21,10.48
2020-10-11,0,53.4,60.5,67.7,53.5,0.3,9.18
2020-10-12,0,52.7,62.4,72.1,40.9,1.25,19.14
2020-10-13,0,62.4,71.9,81.3,36.6,12.15,29.29
2020-10-14,0,69.3,76.4,83.5,40,17.09,31.11
2020-10-15,0,67.5,76,84.5,39,12.8,33.6
2020-10-16,0,68.8,77.5,86.3,30,19.13,36.46
2020-10-17,0,67.6,76.9,86.3,31.6,17.47,36.8
2020-10-18,0,73.1,81.1,89.1,32.2,22.38,40.44
2020-10-19,0,68.6,76.7,84.7,36.5,15.53,33.04
2020-10-20,0,67.2,74.8,82.3,41.8,14.69,27.95
2020-10-21,0,68.8,75.8,82.8,37.8,17.16,30.86
2020-10-22,0,65.7,74,82.3,38.3,14.26,29.77
2020-10-23,0,54.9,64.9,74.8,30.2,8.27,24.07
2020-10-24,0,47.8,57.5,67.2,41.3,1.08,14.03
2020-10-25,0,51.1,57.5,63.9,48.7,1.21,8.69
2020-10-26,0,47.5,53.9,60.2,27.7,1.44,12.46
2020-10-27,0,47.7,56.9,66.1,-1.9,9.94,20.81
2020-10-28,0,55.2,62.6,70.1,17,11.99,21.73
2020-10-29,0,56.7,64.5,72.4,25.5,11.74,22.57
2020-10-30,0,58.8,66.3,73.8,28.8,12.35,22.98
2020-10-31,0,61.5,67.8,74.1,32,12.89,22.63
2020-11-01,0,64,70.9,77.8,26.8,13.31,27.63
2020-11-02,0,66.8,74.2,81.7,24.7,16.35,32.85
2020-11-03,0,62.4,72.4,82.4,27.1,12.04,33.43
2020-11-04,0,59.6,68.1,76.5,27.4,11.6,27.52
2020-11-05,0,60,66.7,73.4,41.5,7.42,17.4
2020-11-06,0,50.4,64.8,79.2,42.8,0.49,24.95
2020-11-07,0.03,39.3,45.1,51,37.5,0.26,6.03
2020-11-08,0,38.6,44.8,51.1,35.6,0.36,5.76
2020-11-09,0.02,36.1,41.2,46.2,26.9,0.42,5.7
2020-11-10,0,37.2,43.4,49.5,18,2.56,8.57
2020-11-11,0,40.5,48.4,56.3,27.5,0.52,11.14
2020-11-12,0,41.5,48,54.5,37.7,0.64,6.38
2020-11-13,0,42.4,50,57.7,31.8,2.02,10.09
2020-11-14,0.21,43.5,48.7,53.8,36.4,0.19,8.47
2020-11-15,0,42,48.8,55.7,39.5,0.39,7.09
2020-11-16,0,47.9,56.2,64.6,34.6,3.51,15.52
2020-11-17,0,55,63.7,72.5,36.5,5.37,20.5
2020-11-18,0.54,49.8,55.5,61.1,43.5,0.14,13.54
2020-11-19,0.39,44.4,48.2,51.9,46,0.14,2.25
2020-11-20,0,44,49.5,54.9,35.9,1.38,6.63
2020-11-21,0,43.6,50.7,57.9,25.8,3.27,10.85
2020-11-22,0,45.7,52.5,59.2,23.4,5,11.83
2020-11-23,0,43.3,52.9,62.5,29.1,1.16,14.6
2020-11-24,0,43.8,48.7,53.5,40.3,0.16,4.98
2020-11-25,0,42.3,50.3,58.4,34.3,0.71,9.85
2020-11-26,0,42.6,47.5,52.4,35,0.42,5.56
2020-11-27,0,42.3,47.9,53.5,19.8,3.99,9.95
2020-11-28,0,43.4,50.8,58.1,18.7,5,12.98
2020-11-29,0,45.5,53.7,61.8,21.3,5.44,14.94
2020-11-30,0,49,55.7,62.4,20.9,6.84,15.51
2020-12-01,0,47.8,55.5,63.3,23.4,5.42,14.99
2020-12-02,0,45.8,53.8,61.9,28.9,4.04,12.78
2020-12-03,0,48.5,54.7,61,27.3,5.05,12.94
2020-12-04,0,49.5,56.1,62.8,25.9,5.82,14.6
2020-12-05,0,50.4,57.1,63.7,24.5,6.28,15.38
2020-12-06,0,49.1,57.8,66.5,24.2,5.65,18.3
2020-12-07,0,46.6,51.3,55.9,32.7,2.12,8.66
2020-12-08,0,46.8,55.3,63.8,22.1,6.6,16.22
2020-12-09,0,55.2,62,68.8,18.7,10.16,20.18
2020-12-10,0,50.1,57.2,64.4,23.1,5.98,17.34
2020-12-11,0,38.7,49.9,61.1,26.3,0.71,13.93
2020-12-12,0.6,37.7,43.7,49.6,36.5,0.11,6.47
2020-12-13,0.15,43.3,46.6,50,43.5,0.1,2.79
2020-12-14,0.65,39.2,43.8,48.4,42.9,0.09,1.09
2020-12-15,0,36.9,42.3,47.7,34.7,0.22,4.51
2020-12-16,0,43.3,47.9,52.4,34,1.82,7.58
2020-12-17,0.24,43.1,50.4,57.7,40.7,0.25,6.88
2020-12-18,0.21,39.7,43.3,46.8,38.5,0.11,3.4
2020-12-19,0,39.7,46.7,53.7,26.1,2.51,9.19
2020-12-20,0,43.2,50.8,58.4,27.4,2.62,11.46
2020-12-21,0,43.8,51.6,59.5,29.6,2.79,12.22
2020-12-22,0,45.1,55.3,65.5,28.4,1.49,17.27
2020-12-23,0,39.8,46.2,52.6,28.8,0.4,8.3
2020-12-24,0,38.8,46.9,55,20.2,3.62,11.4
2020-12-25,0,48.4,53.8,59.1,22.3,5.61,14.67
2020-12-26,0.08,46.4,51.8,57.2,34.9,0.22,11.15
2020-12-27,0.02,41.4,46.3,51.2,38.6,0.3,4.43
2020-12-28,0.06,37.9,44.2,50.6,33.5,0.66,6.04
2020-12-29,0,37.8,41.8,45.7,34.8,0.26,3.52
2020-12-30,0,38.9,46.8,54.6,22.3,1.77,9.97
2020-12-31,0.1,41.1,48.3,55.4,28,0.23,11.25
2021-01-01,0.04,37.9,44.1,50.3,36.2,0.39,5.04
2021-01-02,0,39.6,46.4,53.3,34.3,2.22,6.91
2021-01-03,0.14,44.1,46.2,48.2,44.9,0,2.9
2021-01-04,0,41.7,47,52.3,42.8,0.22,4.54
2021-01-05,0.17,38.7,43.7,48.7,42.7,0.12,2.22
2021-01-06,0,36.7,43.8,50.9,34.3,0.43,5.99
2021-01-07,0,39.8,48.4,57,33.2,0.98,11.1
2021-01-08,0,42.1,49.3,56.5,37.8,0.72,7.75
2021-01-09,0,36.6,45.6,54.7,41.1,0.32,4.86
2021-01-10,0,37.8,46.5,55.2,29.1,1.46,9.97
2021-01-11,0,40.8,48.4,56,39.6,0.35,8.13
2021-01-12,0,40.7,49.3,58,41.2,0.5,6.49
2021-01-13,0,44,50.3,56.7,39.8,1.93,7.74
2021-01-14,0,46.1,55.2,64.3,46.6,0.36,8.65
2021-01-15,0,47.4,57.8,68.1,36.4,1.17,13.68
2021-01-16,0,52.3,60.9,69.5,36.4,5.88,17.14
2021-01-17,0,51.5,61.1,70.7,38.4,5.05,17.91
2021-01-18,0,49.6,59.2,68.8,34.3,4.9,17.33
2021-01-19,0,46.7,56.3,65.8,16.2,6.02,18.57
2021-01-20,0,42.2,48.2,54.2,14.2,6.16,11.12
2021-01-21,0,43,52.5,62,18.8,6.12,14.91
2021-01-22,0,38.1,48.4,58.7,23.6,1.11,13.01
2021-01-23,0.28,34.8,37.4,40,37.4,0,0.43
2021-01-24,0,34.3,39.5,44.7,35.2,0.25,2.19
2021-01-25,0.2,32.7,35.7,38.6,35.3,0.13,0.78
2021-01-26,0.03,32.1,35.8,39.4,29.7,0.55,2.61
2021-01-27,1.03,29.5,34.6,39.8,31.9,0.18,2.57
2021-01-28,1.49,38.3,41,43.7,40.2,0.15,0.78
2021-01-29,1.54,38.4,40.3,42.1,40.3,0,0.03
2021-01-30,0.01,34.4,40.4,46.4,35.4,0.15,3.4
2021-01-31,0,39.4,45.5,51.6,35.6,1.46,6.57
2021-02-01,0,46.4,52.2,57.9,30.8,4.34,11.51
2021-02-02,0.04,47.8,52,56.2,36.3,2.24,9.23
2021-02-03,0.31,38.7,43.8,48.8,43,0.02,1.13
2021-02-04,0,36.8,42,47.2,36.2,0.36,3.58
2021-02-05,0,39.3,45.7,52.2,23.4,3.11,8.97
2021-02-06,0,45,53,60.9,29.6,5.47,11.28
2021-02-07,0,50.6,57.1,63.5,24.3,7.99,16.19
2021-02-08,0,50.1,56.5,62.8,29.2,5.63,13.47
2021-02-09,0,43.4,52.2,60.9,30.9,0.94,14.02
2021-02-10,0,45,50.3,55.7,38,1.9,7.94
2021-02-11,0,45.4,50.4,55.5,39.1,2.44,5.35
2021-02-12,0.47,41.1,47.4,53.6,41.1,0.03,5.84
2021-02-13,0.05,40.2,44.4,48.7,42,0.02,1.5
2021-02-14,0.16,38.9,42.3,45.7,40.7,0.04,0.87
2021-02-15,0.11,37.9,42.2,46.5,39.7,0.05,3.32
2021-02-16,0.05,40.1,44.2,48.4,44.2,0,0.08
