ID_num,Datetime_start,Location,Bulk,Type,dO18,dD
BO20_0374,12/9/2020 16:20:00,SDC Out,0,SDC Out,-7.13,-45.03
BO20_0376,12/12/2020 2:00:00,Precip,0,Precip,-6.18,-40.80
BO20_0379,12/12/2020 0:00:00,Precip,0,Precip,-6.52,-38.06
BO20_0384,12/12/2020 3:30:00,SDC Out,0,SDC Out,-6.66,-41.95
BO20_0385,12/12/2020 2:00:00,SDC Out,0,SDC Out,-6.73,-42.08
BO20_0387,12/11/2020 23:30:00,SDC Out,0,SDC Out,-6.91,-43.29
BO20_0389,12/12/2020 23:00:00,SDC Out,0,SDC Out,-6.87,-42.95
BO20_0391,12/12/2020 1:00:00,SDC Out,0,SDC Out,-6.76,-42.88
BO20_0392,12/13/2020 22:00:00,SDC Out,0,SDC Out,-6.76,-42.13
BO20_0393,12/13/2020 11:00:00,SDC Out,0,SDC Out,-6.64,-40.88
BO20_0396,12/13/2020 18:00:00,SDC Out,0,SDC Out,-6.86,-43.04
