ID_num,Date,Time,Datetime_start,Location,Bulk,Type,dO18,dD
BO20_0397,12/16/2020,20:00,12/16/2020 20:00:00,SDC Out,0,SDC Out,-6.82,-42.29
BO20_0398,12/17/2020,1:00,12/17/2020 1:00:00,SDC Out,0,SDC Out,-6.89,-43.16
BO20_0399,12/17/2020,3:00,12/17/2020 3:00:00,SDC Out,0,SDC Out,-6.77,-42.09
BO20_0400,12/17/2020,5:00,12/17/2020 5:00:00,SDC Out,0,SDC Out,-6.94,-43.24
BO20_0401,12/17/2020,7:00,12/17/2020 7:00:00,SDC Out,0,SDC Out,-6.90,-42.84
BO20_0402,12/17/2020,12:00,12/17/2020 12:00:00,Fork,0,Fork,-6.61,-40.44
BO20_0404,12/17/2020,2:00,12/17/2020 2:00:00,Precip,0,Precip,-6.02,-30.78
BO20_0405,12/17/2020,3:00,12/17/2020 3:00:00,Precip,0,Precip,-6.48,-34.17
BO20_0406,12/17/2020,4:00,12/17/2020 4:00:00,Precip,0,Precip,-6.72,-35.85
BO20_0407,12/17/2020,5:00,12/17/2020 5:00:00,Precip,0,Precip,-6.30,-32.95
BO20_0408,12/17/2020,6:00,12/17/2020 6:00:00,Precip,0,Precip,-6.19,-32.14
BO20_0414,12/18/2020,0:00,12/18/2020 0:00:00,N3 Lysimeter 10,0,Lysimeter,-5.83,-32.39
BO20_0415,12/18/2020,0:00,12/18/2020 0:00:00,S1 Lysimeter 40,0,Lysimeter,-3.74,-29.31
BO20_0416,12/18/2020,0:00,12/18/2020 0:00:00,N1 Lysimeter 10,0,Lysimeter,-5.21,-31.47
BO20_0417,12/18/2020,0:00,12/18/2020 0:00:00,S3 Lysimeter 40,0,Lysimeter,-4.90,-33.99
BO20_0418,12/18/2020,0:00,12/18/2020 0:00:00,N2 Lysimeter 40,0,Lysimeter,-5.97,-34.73
