ID_num,Date,Time,Datetime_start,Datetime_end,Location,Bulk,Type,dO18,dD,Flag
BO21_0013,1/22/2021,0,1/22/2021,nan,Precip,1,Precipitation,-6.80,-39.12,1
BO21_0023,1/26/2021,0:00,1/26/2021 0:00:00,nan,Precip,0,Precipitation,-11.89,-79.42,0
BO21_0014,1/27/2021,9:00,1/27/2021 9:00:00,nan,Stream Well,0,Shallow groundwater,-6.33,-38.41,0
BO21_0015,1/27/2021,9:00,1/27/2021 9:00:00,nan,Rip Well,0,Shallow groundwater,-6.22,-39.29,0
BO21_0024,1/27/2021,4:00,1/27/2021 4:00:00,nan,SDC Out,0,Surface Water,-7.57,-48.08,0
BO21_0025,1/27/2021,5:00,1/27/2021 5:00:00,nan,SDC Out,0,Surface Water,-7.39,-47.35,0
BO21_0026,1/27/2021,8:00,1/27/2021 8:00:00,nan,SDC Out,0,Surface Water,-7.44,-46.96,0
BO21_0027,1/27/2021,12:00,1/27/2021 12:00:00,nan,SDC Out,0,Surface Water,-7.34,-46.37,0
BO21_0030,1/27/2021,19:00,1/27/2021 19:00:00,nan,SDC Out,0,Surface Water,-8.01,-51.72,0
BO21_0031,1/27/2021,6:00,1/27/2021 6:00:00,nan,SDC Out,0,Surface Water,-7.42,-46.94,0
BO21_0040,1/27/2021,23:00,1/27/2021 23:00:00,nan,SDC Out,0,Surface Water,-6.53,-46.42,0
BO21_0041,1/27/2021,21:00,1/27/2021 21:00:00,nan,NDC Out,0,Surface Water,-7.96,-52.53,0
BO21_0307,1/27/2021,0,1/27/2021,nan,S3 Lysimeter 40,0,Lysimeter,-7.39,-50.07,1
BO21_0308,1/27/2021,0,1/27/2021,nan,N2 Lysimeter 40,0,Lysimeter,-8.87,-59.71,1
BO21_0309,1/27/2021,0,1/27/2021,nan,S1 Lysimeter 40,0,Lysimeter,-4.11,-31.79,1
BO21_0016,1/28/2021,18:20,1/28/2021 18:20:00,nan,Rip Well,0,Shallow groundwater,-7.57,-49.43,0
BO21_0017,1/28/2021,18:20,1/28/2021 18:20:00,nan,Stream Well,0,Shallow groundwater,-8.63,-55.77,0
BO21_0028,1/28/2021,2:00,1/28/2021 2:00:00,nan,SDC Out,0,Surface Water,-7.65,-49.41,0
BO21_0032,1/28/2021,3:00,1/28/2021 3:00:00,nan,SDC Out,0,Surface Water,-7.78,-49.60,0
BO21_0033,1/28/2021,3:00,1/28/2021 3:00:00,nan,NDC Out,0,Surface Water,-6.79,-48.58,0
BO21_0034,1/28/2021,5:00,1/28/2021 5:00:00,nan,NDC Out,0,Surface Water,-8.05,-56.35,0
BO21_0035,1/28/2021,6:30,1/28/2021 6:30:00,nan,NDC Out,0,Surface Water,-8.77,-59.59,0
BO21_0036,1/28/2021,8:00,1/28/2021 8:00:00,nan,NDC Out,0,Surface Water,-8.96,-59.70,0
BO21_0037,1/28/2021,7:00,1/28/2021 7:00:00,nan,NDC Out,0,NDC Out,-9.17,-61.24,0
BO21_0038,1/28/2021,0:00,1/28/2021 0:00:00,nan,NDC Out,0,NDC Out,-7.89,-51.79,0
BO21_0039,1/28/2021,5:30,1/28/2021 5:30:00,nan,NDC Out,0,NDC Out,-8.44,-56.56,0
BO21_0042,1/28/2021,4:00,1/28/2021 4:00:00,nan,NDC Out,0,NDC Out,-8.11,-54.06,0
BO21_0076,1/28/2021,0,1/28/2021,nan,Precip,1,Precip,-13.56,-90.76,1
BO21_0078,1/28/2021,14:00,1/28/2021 14:00:00,nan,S1 PIE ,0,GW,-7.67,-49.80,0
BO21_0103,1/28/2021,14:00,1/28/2021 14:00:00,nan,S1 PIE,0,GW,-9.74,-64.78,0
BO21_0120,1/28/2021,10:00,1/28/2021 10:00:00,nan,SDC Out,0,SDC Out,-8.25,-53.76,0
BO21_0121,1/28/2021,14:00,1/28/2021 14:00:00,nan,SDC Out,0,SDC Out,-8.45,-54.75,0
BO21_0123,1/28/2021,16:00,1/28/2021 16:00:00,nan,SDC Out,0,SDC Out,-8.53,-54.94,0
BO21_0125,1/28/2021,8:00,1/28/2021 8:00:00,nan,SDC Out,0,SDC Out,-8.31,-53.95,0
BO21_0126,1/28/2021,22:00,1/28/2021 22:00:00,nan,SDC Out,0,SDC Out,-8.50,-55.17,0
BO21_0129,1/28/2021,14:30,1/28/2021 14:30:00,nan,Precip,0,Precip,-13.14,-85.05,0
BO21_0130,1/28/2021,12:30,1/28/2021 12:30:00,nan,Precip,0,Precip,-15.77,-110.63,0
