ID_num,Date,Time,Datetime_start,Datetime_end,Location,Bulk,Type,dO18,dD,flag
BO21_0203,3/9/2021,13:00,3/9/2021 13:00:00,nan,NDC Out,0,NDC Out,-8.42,-47.28,0
BO21_0204,3/9/2021,13:00,3/9/2021 13:00:00,nan,SDC Out,0,SDC Out,-7.49,-47.92,0
BO21_0211,3/9/2021,18:00,3/9/2021 18:00:00,nan,SDC Out,0,SDC Out,-6.88,-45.89,0
BO21_0216,3/9/2021,12:30,3/9/2021 12:30:00,nan,Rip Well,0,GW,-7.16,-46.07,0
BO21_0220,3/9/2021,12:40,3/9/2021 12:40:00,nan,Stream Well,0,GW,-7.15,-46.47,0
BO21_0224,3/9/2021,9:30,3/9/2021 9:30:00,nan,Seep 1 ,0,Seep,-7.03,-47.26,0
BO21_0236,3/9/2021,0,3/9/2021,3/10/2021 0:00,Precip,1,Precip,-10.10,-59.78,1
BO21_0339,3/9/2021,0,3/9/2021,nan,N3 Lysimeter 10,0,Lysimeter,-7.92,-52.71,1
BO21_0205,3/10/2021,3:00,3/10/2021 3:00:00,nan,NDC Out ,0,NDC Out,-7.49,-47.75,0
BO21_0206,3/10/2021,9:00,3/10/2021 9:00:00,nan,NDC Out ,0,NDC Out,-7.48,-47.83,0
BO21_0207,3/10/2021,11:00,3/10/2021 11:00:00,nan,NDC Out ,0,NDC Out,-7.07,-46.60,0
BO21_0208,3/10/2021,17:00,3/10/2021 17:00:00,nan,NDC Out ,0,NDC Out,-7.59,-47.90,0
BO21_0212,3/10/2021,4:00,3/10/2021 4:00:00,nan,SDC Out,0,SDC Out,-7.57,-48.07,0
BO21_0213,3/10/2021,8:00,3/10/2021 8:00:00,nan,SDC Out,0,SDC Out,-7.65,-48.46,0
BO21_0214,3/10/2021,16:00,3/10/2021 16:00:00,nan,SDC Out,0,SDC Out,-7.79,-48.77,0
BO21_0217,3/10/2021,11:25,3/10/2021 11:25:00,nan,Rip Well,0,GW,-7.23,-46.35,0
BO21_0218,3/10/2021,18:00,3/10/2021 18:00:00,nan,Rip Well,0,GW,-7.24,-46.54,0
BO21_0221,3/10/2021,11:15,3/10/2021 11:15:00,nan,Stream Well,0,GW,-7.37,-47.20,0
BO21_0222,3/10/2021,18:00,3/10/2021 18:00:00,nan,Stream Well,0,GW,-7.38,-47.18,0
BO21_0225,3/10/2021,8:00,3/10/2021 8:00:00,nan,Seep 1 ,0,Seep,-7.81,-49.53,0
BO21_0340,3/10/2021,9:00,3/10/2021 9:00:00,nan,N3 Lysimeter 10,0,Lysimeter,-8.26,-53.02,0
BO21_0341,3/10/2021,17:00,3/10/2021 17:00:00,nan,N3 Lysimeter 10,0,Lysimeter,-8.99,-56.96,0
BO21_0342,3/10/2021,0,3/10/2021,nan,N2 Lysimeter 10,0,Lysimeter,-7.59,-48.35,1
BO21_0343,3/10/2021,0,3/10/2021,nan,S2 Lysimeter 10,0,Lysimeter,-9.57,-61.57,1
BO21_0209,3/11/2021,0:00,3/11/2021 0:00:00,nan,NDC Out ,0,NDC Out,-6.71,-45.88,0
BO21_0210,3/11/2021,12:00,3/11/2021 12:00:00,nan,NDC Out ,0,NDC Out,-7.25,-46.40,0
BO21_0215,3/11/2021,12:00,3/11/2021 12:00:00,nan,SDC Out,0,SDC Out,-7.49,-47.75,0
BO21_0219,3/11/2021,12:40,3/11/2021 12:40:00,nan,Rip Well,0,GW,-7.47,-47.80,0
BO21_0223,3/11/2021,12:30,3/11/2021 12:30:00,nan,Stream Well,0,GW,-7.34,-46.98,0
BO21_0234,3/11/2021,11:00,3/11/2021 11:00:00,nan,N1 PIE,0,GW,-7.19,-45.84,0
BO21_0235,3/11/2021,11:00,3/11/2021 11:00:00,nan,S1 PIE ,0,GW,-8.39,-54.28,0
