ID_num,Date,Time,Datetime_start,Datetime_end,Location,Type,dO18,dD,flag
BO21_0422,10/25/2021,0:00,10/25/2021 0:00:00,nan,SDC Out,SDC Out,-6.54,-39.51,0
BO21_0423,10/25/2021,2:00,10/25/2021 2:00:00,nan,SDC Out,SDC Out,-6.81,-42.93,0
BO21_0424,10/25/2021,4:00,10/25/2021 4:00:00,nan,SDC Out,SDC Out,-6.57,-41.42,0
BO21_0425,10/25/2021,6:00,10/25/2021 6:00:00,nan,SDC Out,SDC Out,-6.84,-42.36,0
BO21_0426,10/25/2021,8:00,10/25/2021 8:00:00,nan,SDC Out,SDC Out,-6.47,-39.83,0
BO21_0427,10/25/2021,10:00,10/25/2021 10:00:00,nan,SDC Out,SDC Out,-6.56,-40.62,0
BO21_0428,10/25/2021,12:00,10/25/2021 12:00:00,nan,SDC Out,SDC Out,-6.60,-40.55,0
BO21_0429,10/25/2021,0:00,10/25/2021 0:00:00,nan,NDC Out,NDC Out,-5.61,-33.39,0
BO21_0430,10/25/2021,2:00,10/25/2021 2:00:00,nan,NDC Out,NDC Out,-6.61,-41.12,0
BO21_0431,10/25/2021,4:00,10/25/2021 4:00:00,nan,NDC Out,NDC Out,-6.61,-41.04,0
BO21_0433,10/25/2021,8:00,10/25/2021 8:00:00,nan,NDC Out,NDC Out,-6.49,-40.65,0
BO21_0434,10/25/2021,10:00,10/25/2021 10:00:00,nan,NDC Out,NDC Out,-6.64,-41.33,0
BO21_0435,10/25/2021,12:00,10/25/2021 12:00:00,nan,NDC Out,NDC Out,-6.38,-40.11,0
BO21_0436,10/25/2021,0,10/25/2021,nan,Precip,Precip,-6.74,-42.18,1
BO21_0437,10/25/2021,13:00,10/25/2021 13:00:00,nan,N1 PIE,GW,-5.09,-26.88,0
BO21_0438,10/25/2021,14:00,10/25/2021 14:00:00,nan,S1 PIE,GW,-5.03,-27.46,0
BO21_0443,10/25/2021,16:00,10/25/2021 16:00:00,nan,SDC Out,SDC Out,-6.57,-40.10,0
BO21_0444,10/25/2021,22:00,10/25/2021 22:00:00,nan,SDC Out,SDC Out,-6.40,-39.70,0
BO21_0505,10/25/2021,0,10/25/2021,nan,S3 Lysimeter 40 ,Lysimeter,-4.30,-20.16,1
BO21_0506,10/25/2021,0,10/25/2021,nan,N3 Lysimeter 10,Lysimeter,-4.33,-19.95,1
BO21_0507,10/25/2021,0,10/25/2021,nan,N2 Lysimeter 40 ,Lysimeter,-5.10,-25.67,1
BO21_0508,10/25/2021,0,10/25/2021,nan,S2 Lysimeter 10,Lysimeter,-4.54,-20.96,1
BO21_0509,10/25/2021,0,10/25/2021,nan,S3 Lysimeter 10 ,Lysimeter,-4.16,-30.31,1
BO21_0440,10/26/2021,0:00,10/26/2021 0:00:00,nan,NDC Out,NDC Out,-6.74,-42.29,0
BO21_0441,10/26/2021,12:00,10/26/2021 12:00:00,nan,NDC Out,NDC Out,-6.68,-41.90,0
BO21_0445,10/26/2021,10:00,10/26/2021 10:00:00,nan,SDC Out,SDC Out,-6.53,-40.16,0
BO21_0442,10/27/2021,8:00,10/27/2021 8:00:00,nan,NDC Out,NDC Out,-6.62,-41.67,0
BO21_0446,10/27/2021,4:00,10/27/2021 4:00:00,nan,SDC Out,SDC Out,-6.60,-40.69,0
BO21_0447,10/31/2021,4:00,10/31/2021 4:00:00,nan,SDC Out,SDC Out,-6.76,-42.19,0
BO21_0448,11/1/2021,15:00,11/1/2021 15:00:00,nan,SDC Out,SDC Out,-6.30,-41.29,0
BO21_0450,11/5/2021,9:30,11/5/2021 9:30:00,nan,SDC Out,SDC Out,-6.92,-43.86,0
