ID_num,Date,Time,Datetime_start,Datetime_end,Location,Sample Type,dO18,dD
BO21_0451,12/9/2021,16:30,12/9/2021 16:30:00,12/9/2021 16:30:00,SDC Out,SDC Out,-7.39,-46.86
BO21_0452,12/10/2021,11:30,12/10/2021 11:30:00,12/10/2021 11:30:00,Rip Well,GW,-6.54,-41.01
BO21_0453,12/13/2021,16:00,12/13/2021 16:00:00,12/13/2021 16:00:00,SDC Out,SDC Out,-7.52,-46.95
BO21_0455,12/13/2021,16:00,12/13/2021 16:00:00,12/13/2021 16:00:00,Stream Well,GW,-6.61,-41.50
BO21_0456,12/13/2021,16:00,12/13/2021 16:00:00,12/13/2021 16:00:00,NDC Out,NDC Out,-6.76,-43.35
BO21_0457,12/13/2021,18:00,12/13/2021 18:00:00,12/13/2021 18:00:00,NDC Out,NDC Out,-6.89,-43.03
BO21_0458,12/13/2021,20:00,12/13/2021 20:00:00,12/13/2021 20:00:00,NDC Out,NDC Out,-6.89,-42.53
BO21_0459,12/13/2021,22:00,12/13/2021 22:00:00,12/13/2021 22:00:00,NDC Out,NDC Out,-6.98,-42.69
BO21_0475,12/13/2021,14:00,12/13/2021 14:00:00,12/13/2021 15:00:00,Precip,Precip,-10.68,-64.82
BO21_0460,12/14/2021,0:00,12/14/2021 0:00:00,12/14/2021 0:00:00,NDC Out,NDC Out,-6.95,-41.93
BO21_0461,12/14/2021,2:00,12/14/2021 2:00:00,12/14/2021 2:00:00,NDC Out,NDC Out,-7.15,-42.87
BO21_0462,12/14/2021,4:00,12/14/2021 4:00:00,12/14/2021 4:00:00,NDC Out,NDC Out,-7.21,-43.14
BO21_0463,12/14/2021,6:00,12/14/2021 6:00:00,12/14/2021 6:00:00,NDC Out,NDC Out,-7.19,-43.35
BO21_0464,12/15/2021,2:00,12/15/2021 2:00:00,12/15/2021 2:00:00,NDC Out,NDC Out,-7.16,-43.38
BO21_0465,12/15/2021,6:00,12/15/2021 6:00:00,12/15/2021 6:00:00,NDC Out,NDC Out,-7.09,-43.02
BO21_0466,12/15/2021,12:45,12/15/2021 12:45:00,12/15/2021 12:45:00,SDC Out,SDC Out,-7.19,-44.47
BO21_0467,12/15/2021,16:30,12/15/2021 16:30:00,12/15/2021 16:30:00,SDC Out,SDC Out,-7.24,-45.06
BO21_0468,12/15/2021,17:30,12/15/2021 17:30:00,12/15/2021 17:30:00,NDC Out,NDC Out,-7.06,-42.91
BO21_0476,12/15/2021,15:00,12/15/2021 15:00:00,12/15/2021 15:00:00,Precip,Precip,-9.57,-49.59
BO21_0469,12/16/2021,3:30,12/16/2021 3:30:00,12/16/2021 3:30:00,NDC Out,NDC Out,-7.07,-42.32
BO21_0470,12/16/2021,5:30,12/16/2021 5:30:00,12/16/2021 5:30:00,NDC Out,NDC Out,-7.01,-42.01
BO21_0471,12/16/2021,9:30,12/16/2021 9:30:00,12/16/2021 9:30:00,NDC Out,NDC Out,-7.11,-42.80
BO21_0472,12/16/2021,15:30,12/16/2021 15:30:00,12/16/2021 15:30:00,NDC Out,NDC Out,-7.08,-42.68
BO21_0473,12/17/2021,5:30,12/17/2021 5:30:00,12/17/2021 5:30:00,NDC Out,NDC Out,-7.02,-42.38
BO21_0474,12/17/2021,16:00,12/17/2021 16:00:00,12/17/2021 16:00:00,SDC Out,SDC Out,-7.14,-44.44
BO21_0479,12/17/2021,16:00,12/17/2021 16:00:00,12/17/2021 16:00:00,Rip Well,GW,-6.70,-41.60
BO21_0480,12/17/2021,18:30,12/17/2021 18:30:00,12/17/2021 18:30:00,NDC Out,NDC Out,-6.88,-42.54
BO21_0481,12/17/2021,20:30,12/17/2021 20:30:00,12/17/2021 20:30:00,NDC Out,NDC Out,-6.87,-42.06
BO21_0482,12/17/2021,22:30,12/17/2021 22:30:00,12/17/2021 22:30:00,NDC Out,NDC Out,-7.02,-42.58
BO21_0483,12/18/2021,0:30,12/18/2021 0:30:00,12/18/2021 0:30:00,NDC Out,NDC Out,-6.79,-41.49
BO21_0484,12/18/2021,2:30,12/18/2021 2:30:00,12/18/2021 2:30:00,NDC Out,NDC Out,-6.85,-41.55
BO21_0486,12/18/2021,6:30,12/18/2021 6:30:00,12/18/2021 6:30:00,NDC Out,NDC Out,-6.70,-41.79
BO21_0487,12/18/2021,8:30,12/18/2021 8:30:00,12/18/2021 8:30:00,NDC Out,NDC Out,-7.04,-42.59
BO21_0488,12/18/2021,12:30,12/18/2021 12:30:00,12/18/2021 12:30:00,NDC Out,NDC Out,-6.86,-42.18
