BORR - Stable Isotope Database - Precipitation,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ¹⁸O,δD,Location
12/12/2020 0:00:00,12/12/2020 0:00:00,0,Precip,-6.52,-38.06,Arbor Creek
12/12/2020 2:00:00,12/12/2020 2:00:00,0,Precip,-6.18,-40.80,Arbor Creek
12/17/2020 2:00:00,12/17/2020 2:00:00,0,Precip,-6.02,-30.78,Arbor Creek
12/17/2020 3:00:00,12/17/2020 3:00:00,0,Precip,-6.48,-34.17,Arbor Creek
12/17/2020 4:00:00,12/17/2020 4:00:00,0,Precip,-6.72,-35.85,Arbor Creek
12/17/2020 5:00:00,12/17/2020 5:00:00,0,Precip,-6.30,-32.95,Arbor Creek
12/17/2020 6:00:00,12/17/2020 6:00:00,0,Precip,-6.19,-32.14,Arbor Creek
12/26/2020 0:00:00,12/20/2020 23:00:00,1,Precip,-6.95,-41.47,Arbor Creek
1/4/2021 0:00:00,1/4/2021 23:00:00,1,Precip,-3.92,-16.43,Arbor Creek
1/22/2021 0:00:00,1/22/2021 0:00:00,1,Precip,-6.80,-39.12,Arbor Creek
1/26/2021 0:00:00,1/26/2021 0:00:00,0,Precip,-11.89,-79.42,Arbor Creek
1/28/2021 0:00:00,1/28/2021 0:00:00,1,Precip,-13.56,-90.76,Arbor Creek
1/28/2021 13:00:00,1/28/2021 13:00:00,0,Precip,-15.77,-110.63,Arbor Creek
1/28/2021 15:00:00,1/28/2021 15:00:00,0,Precip,-13.14,-85.05,Arbor Creek
1/30/2021 15:00:00,1/30/2021 15:00:00,0,Precip,-10.63,-62.37,Arbor Creek
2/1/2021 0:00:00,2/2/2021 23:00:00,1,Precip,-7.10,-39.88,Arbor Creek
2/4/2021 0:00:00,2/4/2021 23:00:00,1,Precip,-7.42,-44.06,Arbor Creek
3/9/2021 0:00:00,3/10/2021 23:00:00,1,Precip,-10.10,-59.78,Arbor Creek
3/18/2021 0:00:00,3/19/2021 23:00:00,1,Precip,-7.17,-42.36,Arbor Creek
BORR - Stable Isotope Database - Surface Water,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ¹⁸O,δD,Location
12/9/2020 16:00:00,12/9/2020 16:00:00,0,Stream,-7.13,-45.03,SDC
12/12/2020 0:00:00,12/12/2020 0:00:00,0,Stream,-6.91,-43.29,SDC
12/12/2020 23:00:00,12/12/2020 23:00:00,0,Stream,-6.87,-42.95,SDC
12/12/2020 1:00:00,12/12/2020 1:00:00,0,Stream,-6.76,-42.88,SDC
12/12/2020 2:00:00,12/12/2020 2:00:00,0,Stream,-6.73,-42.08,SDC
12/12/2020 4:00:00,12/12/2020 4:00:00,0,Stream,-6.66,-41.95,SDC
12/13/2020 18:00:00,12/13/2020 18:00:00,0,Stream,-6.86,-43.04,SDC
12/13/2020 22:00:00,12/13/2020 22:00:00,0,Stream,-6.76,-42.13,SDC
12/13/2020 11:00:00,12/13/2020 11:00:00,0,Stream,-6.64,-40.88,SDC
12/16/2020 20:00:00,12/16/2020 20:00:00,0,Stream,-6.82,-42.29,SDC
12/17/2020 5:00:00,12/17/2020 5:00:00,0,Stream,-6.94,-43.24,SDC
12/17/2020 7:00:00,12/17/2020 7:00:00,0,Stream,-6.90,-42.84,SDC
12/17/2020 1:00:00,12/17/2020 1:00:00,0,Stream,-6.89,-43.16,SDC
12/17/2020 3:00:00,12/17/2020 3:00:00,0,Stream,-6.77,-42.09,SDC
1/7/2021 0:00:00,1/7/2021 23:00:00,1,Stream,-6.38,-40.06,SDC
1/12/2021 0:00:00,1/12/2021 23:00:00,1,Stream,-7.03,-43.90,SDC
1/21/2021 11:00:00,1/21/2021 11:00:00,0,Stream,-7.35,-45.89,SDC
1/21/2021 9:00:00,1/21/2021 9:00:00,0,Stream,-7.11,-44.45,SDC
1/27/2021 21:00:00,1/27/2021 21:00:00,0,Stream,-7.96,-52.53,NDC
1/27/2021 19:00:00,1/27/2021 19:00:00,0,Stream,-8.01,-51.72,SDC
1/27/2021 4:00:00,1/27/2021 4:00:00,0,Stream,-7.57,-48.08,SDC
1/27/2021 8:00:00,1/27/2021 8:00:00,0,Stream,-7.44,-46.96,SDC
1/27/2021 6:00:00,1/27/2021 6:00:00,0,Stream,-7.42,-46.94,SDC
1/27/2021 5:00:00,1/27/2021 5:00:00,0,Stream,-7.39,-47.35,SDC
1/27/2021 12:00:00,1/27/2021 12:00:00,0,Stream,-7.34,-46.37,SDC
1/27/2021 23:00:00,1/27/2021 23:00:00,0,Stream,-6.53,-46.42,SDC
1/28/2021 12:00:00,1/29/2021 12:00:00,1,Stream,-9.31,-62.01,NDC
1/28/2021 7:00:00,1/28/2021 7:00:00,0,Stream,-9.17,-61.24,NDC
1/28/2021 17:00:00,1/29/2021 17:00:00,1,Stream,-9.10,-60.58,NDC
1/28/2021 8:00:00,1/28/2021 8:00:00,0,Stream,-8.96,-59.70,NDC
1/28/2021 7:00:00,1/28/2021 7:00:00,0,Stream,-8.77,-59.59,NDC
1/28/2021 6:00:00,1/28/2021 6:00:00,0,Stream,-8.44,-56.56,NDC
1/28/2021 4:00:00,1/28/2021 4:00:00,0,Stream,-8.11,-54.06,NDC
1/28/2021 5:00:00,1/28/2021 5:00:00,0,Stream,-8.05,-56.35,NDC
