BORR - Fluxes,,,,,,,,,,,
Date,Arbor Precip (mm/day),Barn Precip (mm/day),OSO Precip (mm/day),NDC Q (mm/day),SDC Q (mm/day),NDC Arbor PET (mm/day),NDC Barn PET (mm/day),SDC Arbor PET (mm/day),SDC Barn PET (mm/day),NDC PML AET (mm/day),SDC PML AET (mm/day)
10/1/2020,0.00,0.00,0.00,0.00,0.00,0.87,1.58,0.68,1.23,0.89,0.81
10/2/2020,0.00,0.00,0.00,0.00,0.00,0.72,1.49,0.56,1.16,0.86,0.78
10/3/2020,0.00,0.00,0.00,0.00,0.00,0.92,1.77,0.72,1.38,0.82,0.74
10/4/2020,0.00,0.00,0.00,0.00,0.00,1.02,2.11,0.79,1.64,0.79,0.71
10/5/2020,0.00,0.00,0.00,0.00,0.00,0.92,1.95,0.71,1.52,0.76,0.68
10/6/2020,0.00,0.00,0.00,0.00,0.00,0.55,1.43,0.43,1.11,0.73,0.66
10/7/2020,0.00,0.00,0.00,0.00,0.00,0.64,1.38,0.50,1.07,0.70,0.63
10/8/2020,0.00,0.00,0.00,0.00,0.00,0.74,1.00,0.58,0.78,0.70,0.63
10/9/2020,0.02,0.00,0.25,0.00,0.00,0.54,1.02,0.42,0.79,0.70,0.63
10/10/2020,0.00,0.00,0.00,0.00,0.00,0.51,1.04,0.40,0.81,0.70,0.63
10/11/2020,0.03,0.00,0.00,0.00,0.00,0.85,1.48,0.66,1.15,0.70,0.63
10/12/2020,0.00,0.00,0.00,0.00,0.00,0.98,1.75,0.77,1.36,0.70,0.63
10/13/2020,0.00,0.00,0.00,0.00,0.00,0.87,1.72,0.67,1.34,0.70,0.63
10/14/2020,0.00,0.00,0.00,0.00,0.00,0.91,1.79,0.70,1.39,0.70,0.63
10/15/2020,0.00,0.00,0.00,0.00,0.00,0.96,1.75,0.75,1.36,0.70,0.63
10/16/2020,0.00,0.00,0.00,0.00,0.00,0.99,1.71,0.77,1.33,0.68,0.61
10/17/2020,0.00,0.00,0.00,0.00,0.00,0.96,1.74,0.75,1.35,0.65,0.59
10/18/2020,0.00,0.00,0.00,0.00,0.00,0.92,1.72,0.72,1.33,0.63,0.56
10/19/2020,0.00,0.00,0.00,0.00,0.00,0.81,1.53,0.63,1.19,0.60,0.54
10/20/2020,0.00,0.00,0.00,0.00,0.00,0.81,1.54,0.63,1.20,0.58,0.52
10/21/2020,0.00,0.00,0.00,0.00,0.00,0.82,1.53,0.64,1.19,0.56,0.49
10/22/2020,0.00,0.00,0.00,0.00,0.00,0.74,1.38,0.58,1.07,0.53,0.47
10/23/2020,0.00,0.00,0.00,0.00,0.00,0.78,1.12,0.60,0.87,0.51,0.45
10/24/2020,0.00,0.00,0.00,0.00,0.00,0.55,1.05,0.43,0.82,0.51,0.45
10/25/2020,0.00,0.00,0.00,0.00,0.00,0.40,0.65,0.31,0.50,0.50,0.44
10/26/2020,0.00,0.00,0.00,0.00,0.00,0.73,1.10,0.57,0.85,0.50,0.44
10/27/2020,0.00,0.00,0.00,0.00,0.00,0.79,1.23,0.61,0.96,0.50,0.43
10/28/2020,0.00,0.00,0.00,0.00,0.00,0.72,1.20,0.56,0.94,0.51,0.45
10/29/2020,0.00,0.00,0.00,0.00,0.00,0.77,1.24,0.60,0.97,0.51,0.45
10/30/2020,0.00,0.00,0.00,0.00,0.00,0.72,1.22,0.56,0.95,0.50,0.44
10/31/2020,0.00,0.00,0.00,0.00,0.00,0.80,1.30,0.62,1.01,0.50,0.44
11/1/2020,0.00,0.00,0.00,0.00,0.00,0.78,1.25,0.61,0.97,0.49,0.43
11/2/2020,0.00,0.00,0.00,0.00,0.00,0.82,1.38,0.64,1.07,0.46,0.40
11/3/2020,0.00,0.00,0.00,0.00,0.00,0.70,1.19,0.55,0.93,0.43,0.38
11/4/2020,0.00,0.00,0.00,0.00,0.00,0.65,1.12,0.51,0.87,0.43,0.37
11/5/2020,0.00,0.00,0.00,0.00,0.00,0.80,1.21,0.63,0.94,0.42,0.36
11/6/2020,0.56,0.00,0.00,0.00,0.00,0.38,0.51,0.29,0.40,0.39,0.34
11/7/2020,0.53,1.02,0.00,0.00,0.00,0.32,0.44,0.25,0.35,0.38,0.32
11/8/2020,0.15,1.02,0.00,0.00,0.00,0.17,0.40,0.13,0.31,0.34,0.30
11/9/2020,0.39,0.25,0.00,0.00,0.00,0.40,0.67,0.31,0.52,0.36,0.32
11/10/2020,0.00,0.00,0.00,0.00,0.00,0.51,0.77,0.40,0.60,0.40,0.35
11/11/2020,0.14,0.00,0.00,0.00,0.00,0.22,0.00,0.17,0.00,0.42,0.37
11/12/2020,0.00,0.00,0.00,0.00,0.00,0.49,,0.38,,0.45,0.42
11/13/2020,17.07,0.00,5.59,0.00,0.00,0.17,,0.13,,0.48,0.44
11/14/2020,0.03,0.00,0.25,0.00,0.00,0.49,,0.38,,0.50,0.46
11/15/2020,0.00,0.00,0.00,0.00,0.00,0.58,,0.45,,0.53,0.49
11/16/2020,0.00,0.00,0.00,0.00,0.00,0.85,,0.66,,0.55,0.51
11/17/2020,25.62,0.00,11.43,0.00,0.00,0.25,,0.19,,0.54,0.50
11/18/2020,17.88,0.00,2.29,0.00,0.00,0.13,,0.10,,0.52,0.50
11/19/2020,0.03,0.00,0.25,0.00,0.00,0.43,0.98,0.34,0.76,0.51,0.47
11/20/2020,0.00,0.00,0.00,0.00,0.00,0.40,0.61,0.31,0.47,0.50,0.47
11/21/2020,0.00,0.00,0.00,0.00,0.00,0.34,0.56,0.26,0.44,0.50,0.46
11/22/2020,0.00,0.00,0.00,0.00,0.00,0.50,0.79,0.39,0.61,0.49,0.44
11/23/2020,0.07,0.00,0.25,0.00,0.00,0.29,0.36,0.22,0.28,0.47,0.43
11/24/2020,0.00,0.00,0.00,0.00,0.00,0.46,0.70,0.36,0.54,0.46,0.42
11/25/2020,0.00,0.25,0.00,0.00,0.00,0.38,0.52,0.30,0.40,0.45,0.42
11/26/2020,0.00,0.00,0.00,0.00,0.00,0.41,0.67,0.32,0.52,0.44,0.41
11/27/2020,0.00,0.00,0.00,0.00,0.00,0.49,0.73,0.38,0.57,0.44,0.41
11/28/2020,0.00,0.00,0.00,0.00,0.00,0.51,0.76,0.40,0.59,0.43,0.41
11/29/2020,0.00,0.00,0.00,0.00,0.00,0.52,0.79,0.40,0.61,0.43,0.40
11/30/2020,0.00,0.00,0.00,0.00,0.00,0.59,0.80,0.46,0.62,0.42,0.40
12/1/2020,0.00,0.00,0.00,0.00,0.00,0.52,0.73,0.40,0.57,0.41,0.39
12/2/2020,0.00,0.00,0.00,0.00,0.00,0.43,0.68,0.34,0.53,0.40,0.39
12/3/2020,0.00,0.00,0.00,0.00,0.00,0.45,0.70,0.35,0.54,0.40,0.38
12/4/2020,0.00,0.00,0.00,0.00,0.00,0.51,0.78,0.40,0.61,0.40,0.38
12/5/2020,0.00,0.00,0.00,0.00,0.00,0.40,0.61,0.31,0.48,0.38,0.38
12/6/2020,0.00,0.00,0.00,0.00,0.00,0.39,0.56,0.31,0.43,0.39,0.38
12/7/2020,0.00,0.00,0.00,0.00,0.00,0.58,0.77,0.45,0.60,0.39,0.36
12/8/2020,0.00,0.00,0.00,0.00,0.00,0.53,0.83,0.41,0.65,0.38,0.36
12/9/2020,0.00,0.00,0.00,0.00,0.01,0.55,0.77,0.42,0.60,0.38,0.36
12/10/2020,0.00,0.00,0.00,0.00,0.02,0.52,0.70,0.41,0.54,0.36,0.35
12/11/2020,20.83,14.73,6.10,0.00,0.03,0.20,0.30,0.15,0.24,0.35,0.34
12/12/2020,11.71,12.19,1.02,0.00,0.09,0.19,0.40,0.15,0.31,0.33,0.32
12/13/2020,23.90,21.59,21.59,0.00,0.10,0.02,0.04,0.02,0.03,0.30,0.30
12/14/2020,0.00,0.25,0.00,0.00,0.06,0.27,0.48,0.21,0.37,0.29,0.28
12/15/2020,0.00,0.00,0.00,0.00,0.04,0.31,0.46,0.24,0.36,0.27,0.27
12/16/2020,0.00,0.00,2.79,0.00,0.06,0.35,0.59,0.27,0.46,0.25,0.26
12/17/2020,20.01,14.99,12.70,0.00,0.13,0.05,0.13,0.04,0.10,0.22,0.23
12/18/2020,0.00,0.00,0.00,0.00,0.06,0.40,0.57,0.31,0.44,0.21,0.23
12/19/2020,0.00,0.00,0.00,0.00,0.06,0.47,0.64,0.37,0.50,0.23,0.25
12/20/2020,0.00,0.00,0.00,0.00,0.06,0.55,0.72,0.43,0.56,0.27,0.28
12/21/2020,0.00,0.00,0.00,0.00,0.05,0.61,0.77,0.48,0.60,0.30,0.32
12/22/2020,0.00,0.00,0.00,0.00,0.05,0.45,0.59,0.35,0.46,0.33,0.36
12/23/2020,0.00,0.00,0.00,0.00,0.04,0.37,0.55,0.29,0.42,0.36,0.38
12/24/2020,0.00,0.00,0.00,0.00,0.04,0.32,0.47,0.25,0.37,0.41,0.42
12/25/2020,0.03,0.00,5.84,0.00,0.04,0.07,0.13,0.06,0.10,0.44,0.45
12/26/2020,0.71,0.51,0.00,0.00,0.05,0.20,0.35,0.16,0.27,0.47,0.48
12/27/2020,0.00,0.00,0.00,0.00,0.05,0.35,0.48,0.27,0.37,0.47,0.48
12/28/2020,1.39,4.57,1.02,0.00,0.05,0.13,0.26,0.10,0.20,0.47,0.47
12/29/2020,0.00,0.25,0.00,0.00,0.04,0.45,0.58,0.35,0.45,0.47,0.47
12/30/2020,0.46,0.76,4.57,0.00,0.05,0.45,0.60,0.35,0.47,0.45,0.46
12/31/2020,4.56,4.83,0.51,0.00,0.05,0.34,0.50,0.26,0.39,0.45,0.46
1/1/2021,0.00,0.00,0.00,0.00,0.05,0.28,0.51,0.22,0.40,0.45,0.45
1/2/2021,5.76,3.05,6.35,0.00,0.06,0.04,0.07,0.03,0.06,0.46,0.45
1/3/2021,0.00,0.00,0.25,0.00,0.06,0.16,0.33,0.12,0.26,0.47,0.47
1/4/2021,2.41,2.03,14.22,0.00,0.06,0.04,0.06,0.03,0.05,0.46,0.47
1/5/2021,0.10,0.25,0.25,0.00,0.05,0.29,0.44,0.23,0.34,0.47,0.47
1/6/2021,0.00,0.00,0.25,0.00,0.05,0.25,0.43,0.19,0.33,0.49,0.47
1/7/2021,0.00,0.25,0.51,0.00,0.05,0.45,0.63,0.35,0.49,0.49,0.47
1/8/2021,0.00,0.00,0.00,0.00,0.05,0.20,0.42,0.15,0.33,0.49,0.49
1/9/2021,0.00,0.00,0.00,0.00,0.05,0.47,0.63,0.36,0.49,0.50,0.49
1/10/2021,0.00,0.00,0.00,0.00,0.05,0.34,0.62,0.26,0.49,0.51,0.51
1/11/2021,0.05,0.00,0.00,0.00,0.05,0.46,0.65,0.36,0.51,0.53,0.52
1/12/2021,0.00,0.00,0.00,0.00,0.05,0.18,0.33,0.14,0.26,0.55,0.54
1/13/2021,0.00,0.25,0.00,0.00,0.05,0.59,0.75,0.46,0.58,0.56,0.56
1/14/2021,0.00,0.00,0.00,0.00,0.05,0.67,0.83,0.52,0.65,0.57,0.57
1/15/2021,0.00,0.00,0.00,0.00,0.05,0.61,0.89,0.47,0.70,0.59,0.59
1/16/2021,0.00,0.00,0.00,0.00,0.05,0.58,0.88,0.45,0.68,0.62,0.60
1/17/2021,0.00,0.00,0.00,0.00,0.05,0.67,1.00,0.52,0.78,0.63,0.62
