"Time","BORR Arbor Relay Air RelativeHumidity rhmax %","BORR Arbor Relay Air RelativeHumidity rhmin %","BORR Arbor Relay Air Speed wsmsuwvt m/s","BORR Arbor Relay Air Temperature airtcavg degC","BORR Arbor Relay Air Temperature winddirsduwvt °","BORR Arbor Relay Rainfall mm","BORR Arbor Relay Solar Radiation Average W/m^2"
"2019-10-01 00:00:00",81.8,79.7,2.361,7.177,11.43,0,0
"2019-10-01 00:10:00",81.7,80.2,2.238,7.047,9.55,0,0
"2019-10-01 00:20:00",81.9,79.9,2.369,7.003,7.918,0,0
"2019-10-01 00:30:00",81.6,78.4,2.237,6.978,10.74,0,0
"2019-10-01 00:40:00",80,75.9,1.998,7.215,8.95,0,0
"2019-10-01 00:50:00",76.3,73,2.302,7.565,7.618,0,0
"2019-10-01 01:00:00",74.5,72.7,2.243,7.638,8.51,0,0
"2019-10-01 01:10:00",74.5,72.8,2.166,7.52,8.98,0,0
"2019-10-01 01:20:00",75.2,73.2,2.188,7.312,8.25,0,0
"2019-10-01 01:30:00",75.3,72.2,1.834,7.338,9.12,0,0
"2019-10-01 01:40:00",73.7,71.7,1.645,7.427,9.79,0,0
"2019-10-01 01:50:00",74.4,72.3,1.488,7.283,11.9,0,0
"2019-10-01 02:00:00",73.5,70.9,1.63,7.565,13.84,0,0
"2019-10-01 02:10:00",77.3,71,1.594,7.572,13.61,0,0
"2019-10-01 02:20:00",73.8,70.6,1.52,7.648,15.45,0,0
"2019-10-01 02:30:00",77.6,71.7,1.368,7.378,20.49,0,0
"2019-10-01 02:40:00",75.1,72.4,0.489,7.265,36,0,0
"2019-10-01 02:50:00",75.6,73.7,0.609,7.01,18.17,0,0
"2019-10-01 03:00:00",74.9,73.4,0.678,7.117,14.46,0,0
"2019-10-01 03:10:00",74.4,72.9,0.699,7.22,12.93,0,0
"2019-10-01 03:20:00",75.2,72.7,0.743,7.167,13.25,0,0
"2019-10-01 03:30:00",75.7,73.2,0.868,7.082,12.49,0,0
"2019-10-01 03:40:00",78.9,74.1,0.802,6.758,15.47,0,0
"2019-10-01 03:50:00",80.1,74,0.69,6.495,21.51,0,0
"2019-10-01 04:00:00",78.2,73,0.529,6.473,15.23,0,0
"2019-10-01 04:10:00",76.3,74,0.517,6.672,19.46,0,0
"2019-10-01 04:20:00",78.8,74.1,0.455,6.685,27.04,0,0
"2019-10-01 04:30:00",78.5,75.9,0.285,6.377,27.01,0,0
"2019-10-01 04:40:00",76.9,73.7,0.424,6.828,26.51,0,0
"2019-10-01 04:50:00",77.2,74.2,0.598,6.922,20.48,0,0
"2019-10-01 05:00:00",77.4,73.1,0.954,6.965,18.09,0,0
"2019-10-01 05:10:00",75.7,71.7,1.31,7.277,19.69,0,0
"2019-10-01 05:20:00",73.9,70.5,1.889,7.633,17.6,0,0
"2019-10-01 05:30:00",72.5,70.4,1.275,7.672,20.78,0,0
"2019-10-01 05:40:00",72.1,69.2,1.243,7.643,17.16,0,0
"2019-10-01 05:50:00",71.5,68.7,1.154,7.522,17.11,0,0
"2019-10-01 06:00:00",70.9,67.5,0.938,7.437,24.92,0,0
"2019-10-01 06:10:00",68.5,66.1,2.174,7.782,15.74,0,3
"2019-10-01 06:20:00",68.8,66.8,1.688,7.71,16.63,0,6
"2019-10-01 06:30:00",68.6,66.3,0.999,7.682,20.18,0,9
"2019-10-01 06:40:00",69.2,66.3,0.878,7.653,23.45,0,12
"2019-10-01 06:50:00",69.1,66.1,0.976,7.627,14.62,0,13
"2019-10-01 07:00:00",70.2,66.9,0.302,7.438,48.53,0,15
"2019-10-01 07:10:00",69.8,65.1,0.219,7.51,59.09,0,17
"2019-10-01 07:20:00",69.1,65.7,1.159,8.04,21.56,0,19
"2019-10-01 07:30:00",66.8,65.4,2.304,8.55,18.64,0,21
"2019-10-01 07:40:00",67.5,65.9,2.42,8.64,17.73,0,24
"2019-10-01 07:50:00",67.4,66.3,2.543,8.79,20.97,0,41
"2019-10-01 08:00:00",70.5,67.1,2.8,8.86,17.85,0,263
"2019-10-01 08:10:00",71.3,69,1.833,9.13,20.08,0,305
"2019-10-01 08:20:00",69.4,64,1.692,9.57,20.88,0,135
"2019-10-01 08:30:00",64.7,61.6,1.831,9.79,24.04,0,39
"2019-10-01 08:40:00",63.5,59.6,1.883,9.87,23.97,0,74
"2019-10-01 08:50:00",61.3,59,2.58,10.04,22.9,0,43
"2019-10-01 09:00:00",62.5,59,1.774,10.05,26.15,0,158
"2019-10-01 09:10:00",61.8,56.7,1.903,10.48,27.56,0,68
"2019-10-01 09:20:00",59.2,56.2,2.263,10.59,19.52,0,44
"2019-10-01 09:30:00",59.1,53.4,2.705,10.78,19.34,0,53
"2019-10-01 09:40:00",61.9,53.2,1.407,10.88,34.49,0,128
"2019-10-01 09:50:00",61.7,53.5,1.739,11.02,26.56,0,59
"2019-10-01 10:00:00",65.4,57.3,2.541,10.78,14.01,0,148
"2019-10-01 10:10:00",62.7,55.6,1.95,11.36,27.03,0,69
"2019-10-01 10:20:00",62.8,52.4,0.993,11.82,63.91,0,69
"2019-10-01 10:30:00",60.6,50.6,2.304,11.81,30.8,0,57
"2019-10-01 10:40:00",60.4,48.7,1.635,12.56,42.1,0,94
"2019-10-01 10:50:00",58.4,45.6,2.219,12.96,32.02,0,69
"2019-10-01 11:00:00",59.7,48.8,1.421,13.29,48.04,0,79
"2019-10-01 11:10:00",60,47.2,1.734,13.41,43.54,0,71
